Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8512419462203979;-51.850723266601562
6000499;-52.784496307373047;-94.662132263183594
12000498;-66.268165588378906;-93.209968566894531
18000497;-47.966365814208984;-92.0430908203125
24000496;-65.5626220703125;-107.85780334472656
30000495;-67.350746154785156;-98.485038757324219
36000494;-66.715873718261719;-99.869651794433594
42000493;-64.718032836914063;-118.53009796142578
48000492;-64.56134033203125;-89.727638244628906
54000491;-67.388008117675781;-95.887611389160156
60000490;-32.694282531738281;-104.78749084472656
66000489;-70.146270751953125;-97.973594665527344
72000488;-68.563056945800781;-92.531730651855469
78000487;-68.803321838378906;-99.899032592773438
84000486;-47.322284698486328;-91.799667358398438
90000485;-37.491245269775391;-79.711692810058594
96000484;-33.561805725097656;-58.340431213378906
102000483;-35.307884216308594;-64.122047424316406
108000482;-46.021221160888672;-92.7930908203125
114000481;-52.535686492919922;-98.374740600585938
120000480;-66.139846801757813;-110.83805084228516
126000479;-70.251815795898438;-97.858627319335937
132000478;-70.778335571289063;-100.98551177978516
138000477;-69.857040405273437;-101.87660980224609
144000476;-68.132598876953125;-99.620002746582031
150000475;-69.258644104003906;-96.3299560546875
156000474;-69.584335327148438;-100.21527099609375
162000473;-67.276473999023438;-111.48058319091797
168000472;-62.43902587890625;-87.22509765625
174000471;-64.45257568359375;-103.13259887695312
180000470;-47.856479644775391;-86.040855407714844
186000469;-38.155426025390625;-77.667045593261719
192000468;-38.724349975585938;-80.528617858886719
198000467;-61.314594268798828;-97.532096862792969
204000466;-69.681007385253906;-96.355094909667969
210000465;-69.778465270996094;-98.439666748046875
216000464;-70.003120422363281;-103.82532501220703
222000463;-68.655052185058594;-111.93708038330078
228000462;-63.911685943603516;-100.94811248779297
234000461;-70.290901184082031;-97.309280395507813
240000460;-69.004890441894531;-95.124824523925781
246000459;-64.994003295898437;-95.908546447753906
252000458;-65.738510131835938;-101.19857788085937
258000457;-63.324699401855469;-98.094749450683594
264000456;-69.878349304199219;-94.180274963378906
270000455;-70.613311767578125;-106.81932067871094
276000454;-66.450782775878906;-96.362190246582031
282000453;-69.743415832519531;-92.915809631347656
288000452;-68.333900451660156;-104.91274261474609
294000451;-66.54998779296875;-105.60467529296875
300000450;-63.857204437255859;-99.603874206542969
306000449;-68.389572143554688;-93.760345458984375
312000448;-68.057914733886719;-105.15631103515625
318000447;-69.384819030761719;-114.67766571044922
324000446;-69.922691345214844;-103.05907440185547
330000445;-70.221847534179688;-101.06230163574219
336000444;-69.712638854980469;-96.381591796875
342000443;-70.353218078613281;-106.26055145263672
348000442;-67.756393432617188;-100.93332672119141
354000441;-66.524581909179688;-97.141044616699219
360000440;-56.248008728027344;-93.975578308105469
366000439;-52.184230804443359;-81.426681518554688
372000438;-64.606330871582031;-96.28131103515625
378000437;-57.135982513427734;-98.8629150390625
384000436;-61.390388488769531;-97.551483154296875
390000435;-53.260520935058594;-94.004249572753906
396000434;-66.456687927246094;-101.93863677978516
402000433;-68.250686645507813;-98.900238037109375
408000432;-64.050827026367188;-101.06294250488281
414000431;-55.853630065917969;-96.488716125488281
420000430;-50.435745239257812;-85.698638916015625
426000429;-51.062095642089844;-79.843070983886719
432000428;-59.330791473388672;-100.22160339355469
438000427;-69.674957275390625;-99.366432189941406
444000426;-69.084762573242187;-97.025245666503906
450000425;-71.653266906738281;-94.422271728515625
456000424;-50.624526977539063;-94.26275634765625
462000423;-51.085166931152344;-82.904876708984375
468000422;-57.361412048339844;-106.04552459716797
474000421;-70.513587951660156;-99.8616943359375
480000420;-69.639793395996094;-97.405830383300781
486000419;-69.370475769042969;-97.630950927734375
492000418;-69.457672119140625;-97.775077819824219
498000417;-65.8560791015625;-104.16437530517578
504000416;-68.077354431152344;-99.812934875488281
510000415;-66.870529174804687;-99.366973876953125
516000414;-42.8883056640625;-83.49176025390625
522000413;-42.171463012695313;-66.782981872558594
528000412;-55.570964813232422;-99.143768310546875
534000411;-72.315757751464844;-95.726295471191406
540000410;-71.294029235839844;-104.45228576660156
546000409;-72.208465576171875;-97.385574340820313
552000408;-70.245994567871094;-90.021591186523438
558000407;-71.233482360839844;-98.005668640136719
564000406;-68.357345581054688;-106.11831665039062
570000405;-48.194339752197266;-93.340347290039063
576000404;-39.192256927490234;-79.449981689453125
582000403;-41.007198333740234;-91.135330200195313
588000402;-70.886131286621094;-106.73443603515625
594000401;-70.344886779785156;-99.412887573242188
600000400;-72.259208679199219;-103.65478515625
606000399;-71.009414672851563;-110.61526489257812
612000398;-71.410079956054688;-96.722000122070313
618000397;-72.47003173828125;-104.77832794189453
624000396;-67.951286315917969;-95.020957946777344
630000395;-70.734703063964844;-96.392074584960937
636000394;-72.420783996582031;-97.878776550292969
642000393;-72.56781005859375;-110.30730438232422
648000392;-72.041542053222656;-104.80523681640625
654000391;-71.667831420898438;-101.10731506347656
660000390;-70.762252807617188;-105.36866760253906
666000389;-71.513504028320312;-102.42195892333984
672000388;-71.607315063476562;-97.957977294921875
678000387;-73.159172058105469;-101.44087982177734
684000386;-64.422866821289063;-107.88192749023437
690000385;-65.885047912597656;-91.190193176269531
696000384;-70.993484497070313;-100.841552734375
702000383;-70.916297912597656;-103.29694366455078
708000382;-71.070693969726563;-102.99745178222656
714000381;-70.868576049804688;-106.43637847900391
720000380;-60.61871337890625;-111.28285980224609
726000379;-50.333080291748047;-83.305084228515625
732000378;-49.609771728515625;-88.130516052246094
738000377;-68.512832641601562;-104.96133422851562
744000376;-72.15496826171875;-101.82440948486328
750000375;-69.540191650390625;-101.25503540039062
756000374;-71.491981506347656;-93.782669067382813
762000373;-68.641426086425781;-109.88225555419922
768000372;-62.390506744384766;-90.487251281738281
774000371;-65.295158386230469;-90.580574035644531
780000370;-70.833267211914063;-106.56456756591797
786000369;-67.184715270996094;-99.411628723144531
792000368;-66.12677001953125;-94.9779052734375
798000367;-65.668380737304688;-94.135353088378906
804000366;-66.862472534179688;-100.36519622802734
810000365;-65.521026611328125;-89.692192077636719
816000364;-65.604324340820312;-98.509384155273438
822000363;-68.432136535644531;-95.436622619628906
828000362;-71.288421630859375;-112.45810699462891
834000361;-71.217788696289063;-102.30200958251953
840000360;-70.651618957519531;-111.04714965820313
846000359;-68.935531616210937;-99.955429077148438
852000358;-70.746047973632812;-101.29574584960937
858000357;-70.712074279785156;-109.56834411621094
864000356;-70.005622863769531;-98.845840454101563
870000355;-66.75262451171875;-104.02947998046875
876000354;-67.591217041015625;-92.410469055175781
882000353;-70.455307006835938;-107.95632934570312
888000352;-71.918495178222656;-96.2650146484375
894000351;-71.186149597167969;-98.080863952636719
900000350;-71.700798034667969;-106.71195220947266
906000349;-70.693489074707031;-100.60526275634766
912000348;-71.051132202148437;-102.30084228515625
918000347;-70.40655517578125;-109.81401062011719
924000346;-61.89501953125;-96.639595031738281
930000345;-62.464527130126953;-94.624435424804687
936000344;-31.32990837097168;-72.034576416015625
