Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8437120914459229;-52.252872467041016
6000499;-52.774131774902344;-103.75691986083984
12000498;-64.775810241699219;-96.156806945800781
18000497;-63.103900909423828;-97.929351806640625
24000496;-66.955772399902344;-95.352706909179688
30000495;-65.857292175292969;-109.45053100585937
36000494;-66.415298461914063;-103.98488616943359
42000493;-60.247474670410156;-91.903938293457031
48000492;-63.028781890869141;-92.766273498535156
54000491;-69.336532592773437;-100.83354949951172
60000490;-31.968881607055664;-99.569404602050781
66000489;-70.029792785644531;-96.784591674804688
72000488;-59.376548767089844;-108.6146240234375
78000487;-66.557456970214844;-100.12761688232422
84000486;-46.833488464355469;-93.405265808105469
90000485;-40.535774230957031;-65.553436279296875
96000484;-33.538547515869141;-57.309799194335938
102000483;-37.693981170654297;-65.030311584472656
108000482;-44.159961700439453;-91.889717102050781
114000481;-70.108146667480469;-105.58721160888672
120000480;-59.574600219726563;-97.282661437988281
126000479;-70.831024169921875;-104.06018829345703
132000478;-70.306907653808594;-102.91747283935547
138000477;-65.906051635742187;-100.30686950683594
144000476;-54.164745330810547;-94.838356018066406
150000475;-68.944412231445313;-95.214653015136719
156000474;-68.5111083984375;-94.561759948730469
162000473;-66.328788757324219;-100.21273803710937
168000472;-54.460361480712891;-100.19474792480469
174000471;-64.358360290527344;-92.633293151855469
180000470;-46.57391357421875;-80.994438171386719
186000469;-39.053623199462891;-64.435935974121094
192000468;-37.726089477539063;-64.606109619140625
198000467;-56.576927185058594;-97.085212707519531
204000466;-71.504806518554687;-102.25023651123047
210000465;-69.899169921875;-96.310203552246094
216000464;-71.261886596679687;-106.37997436523437
222000463;-62.692234039306641;-94.912635803222656
228000462;-68.763755798339844;-104.09980773925781
234000461;-68.0078125;-99.590057373046875
240000460;-55.439689636230469;-95.371803283691406
246000459;-66.666900634765625;-95.614555358886719
252000458;-68.858596801757813;-94.188667297363281
258000457;-70.891693115234375;-100.86076354980469
264000456;-67.762489318847656;-93.828437805175781
270000455;-70.949798583984375;-98.930984497070313
276000454;-69.394294738769531;-95.119667053222656
282000453;-69.809005737304688;-107.45144653320312
288000452;-68.894668579101563;-97.905731201171875
294000451;-67.048530578613281;-99.860649108886719
300000450;-68.255386352539063;-102.93616485595703
306000449;-69.094505310058594;-101.59004211425781
312000448;-67.982322692871094;-97.303291320800781
318000447;-68.1715087890625;-97.227943420410156
324000446;-69.016693115234375;-111.90481567382812
330000445;-68.8209228515625;-92.102554321289063
336000444;-67.609703063964844;-102.83848571777344
342000443;-70.269607543945313;-93.215370178222656
348000442;-70.275459289550781;-96.797615051269531
354000441;-67.257911682128906;-110.55415344238281
360000440;-56.8890380859375;-92.863624572753906
366000439;-52.429935455322266;-86.705703735351563
372000438;-64.046035766601562;-99.268569946289063
378000437;-67.566482543945313;-98.077888488769531
384000436;-54.023471832275391;-93.885795593261719
390000435;-46.709545135498047;-84.351280212402344
396000434;-66.452346801757812;-99.492881774902344
402000433;-67.852394104003906;-108.99668121337891
408000432;-69.219306945800781;-99.998329162597656
414000431;-48.8841552734375;-90.951560974121094
420000430;-43.638648986816406;-85.493423461914063
426000429;-54.063278198242188;-79.113113403320312
432000428;-54.177200317382812;-92.217025756835938
438000427;-66.945152282714844;-101.90732574462891
444000426;-67.754486083984375;-101.86797332763672
450000425;-72.911018371582031;-103.19557189941406
456000424;-51.997081756591797;-93.79931640625
462000423;-48.976596832275391;-82.824844360351563
468000422;-56.920318603515625;-95.78076171875
474000421;-68.951675415039063;-108.94097137451172
480000420;-71.246467590332031;-97.293846130371094
486000419;-69.516616821289063;-97.654083251953125
492000418;-71.241744995117188;-100.22963714599609
498000417;-69.756011962890625;-102.98214721679687
504000416;-68.909889221191406;-104.59671783447266
510000415;-68.630615234375;-98.3626708984375
516000414;-42.539638519287109;-79.989509582519531
522000413;-40.932636260986328;-84.127540588378906
528000412;-60.949810028076172;-98.127799987792969
534000411;-70.100181579589844;-99.780082702636719
540000410;-66.818679809570313;-103.10857391357422
546000409;-68.736396789550781;-104.78565979003906
552000408;-70.068443298339844;-112.73527526855469
558000407;-69.0897216796875;-103.76165008544922
564000406;-70.116157531738281;-90.721611022949219
570000405;-45.836227416992188;-110.90948486328125
576000404;-38.691776275634766;-65.468246459960937
582000403;-46.053440093994141;-96.741119384765625
588000402;-70.55633544921875;-102.21492767333984
594000401;-72.173835754394531;-110.01682281494141
600000400;-72.039787292480469;-98.100975036621094
606000399;-70.729507446289063;-99.356788635253906
612000398;-73.391975402832031;-110.96056365966797
618000397;-71.845123291015625;-107.19795989990234
624000396;-70.418434143066406;-98.215187072753906
630000395;-68.883255004882813;-102.26566314697266
636000394;-70.88812255859375;-97.048538208007813
642000393;-70.358345031738281;-103.66786956787109
648000392;-71.349067687988281;-101.9964599609375
654000391;-70.908660888671875;-115.94882202148437
660000390;-69.776947021484375;-116.20670318603516
666000389;-72.74334716796875;-103.54274749755859
672000388;-70.825553894042969;-106.64089965820312
678000387;-72.268424987792969;-97.255104064941406
684000386;-62.324424743652344;-100.21588897705078
690000385;-64.909378051757812;-93.0927734375
696000384;-68.836807250976562;-102.05827331542969
702000383;-70.785003662109375;-97.423812866210938
708000382;-72.508865356445313;-99.030570983886719
714000381;-70.126518249511719;-99.034988403320312
720000380;-62.480274200439453;-99.584281921386719
726000379;-48.119148254394531;-81.231986999511719
732000378;-52.406661987304688;-84.905097961425781
738000377;-66.006484985351562;-99.304519653320312
744000376;-70.926536560058594;-100.01677703857422
750000375;-71.443031311035156;-106.89670562744141
756000374;-72.353843688964844;-100.79722595214844
762000373;-70.500732421875;-100.26791381835937
768000372;-64.0792236328125;-84.818679809570313
774000371;-67.214561462402344;-96.143753051757813
780000370;-70.223594665527344;-98.443778991699219
786000369;-61.558849334716797;-98.525886535644531
792000368;-49.845611572265625;-93.852203369140625
798000367;-52.699008941650391;-88.486587524414063
804000366;-57.269058227539063;-95.602890014648438
810000365;-53.733184814453125;-86.910057067871094
816000364;-60.538887023925781;-93.283973693847656
822000363;-68.640235900878906;-92.699150085449219
828000362;-70.847793579101563;-102.45941162109375
834000361;-71.775398254394531;-102.07331848144531
840000360;-71.415580749511719;-101.5965576171875
846000359;-69.619346618652344;-98.626327514648438
852000358;-72.029487609863281;-105.42996215820312
858000357;-68.998779296875;-97.872322082519531
864000356;-70.685470581054688;-99.710853576660156
870000355;-66.948822021484375;-103.43351745605469
876000354;-67.180526733398438;-105.30827331542969
882000353;-70.751274108886719;-94.791343688964844
888000352;-71.442779541015625;-103.50821685791016
894000351;-70.14788818359375;-100.68901824951172
900000350;-71.940567016601563;-104.23823547363281
906000349;-71.709663391113281;-104.62510681152344
912000348;-70.647529602050781;-96.668441772460938
918000347;-71.125045776367188;-94.708244323730469
924000346;-65.068061828613281;-91.037544250488281
930000345;-64.997871398925781;-96.494735717773438
936000344;-31.26725959777832;-80.391311645507813
