Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8463976383209229;-53.243434906005859
6000499;-50.729724884033203;-89.606033325195313
12000498;-68.510917663574219;-96.997673034667969
18000497;-61.052532196044922;-90.434898376464844
24000496;-68.629737854003906;-102.95121765136719
30000495;-65.586090087890625;-94.776176452636719
36000494;-69.344139099121094;-99.517601013183594
42000493;-66.014396667480469;-99.258453369140625
48000492;-63.932395935058594;-96.607223510742187
54000491;-67.495452880859375;-97.571334838867188
60000490;-32.941116333007812;-98.764137268066406
66000489;-55.932540893554687;-97.202140808105469
72000488;-63.670341491699219;-103.42786407470703
78000487;-63.416114807128906;-97.097724914550781
84000486;-46.557704925537109;-97.985816955566406
90000485;-38.087684631347656;-66.448875427246094
96000484;-33.079093933105469;-60.070365905761719
102000483;-36.889015197753906;-68.340530395507813
108000482;-45.649993896484375;-98.70233154296875
114000481;-67.618019104003906;-103.93140411376953
120000480;-54.266002655029297;-100.55369567871094
126000479;-72.175575256347656;-97.811500549316406
132000478;-69.847274780273438;-99.064476013183594
138000477;-69.739311218261719;-101.66900634765625
144000476;-52.785995483398437;-97.603744506835938
150000475;-68.545730590820312;-101.3525390625
156000474;-69.7308349609375;-96.150199890136719
162000473;-63.918277740478516;-101.88996887207031
168000472;-55.0870361328125;-99.538772583007813
174000471;-65.07305908203125;-94.923683166503906
180000470;-43.884944915771484;-92.242225646972656
186000469;-38.835174560546875;-71.091789245605469
192000468;-39.596981048583984;-66.962738037109375
198000467;-59.6561279296875;-99.928482055664062
204000466;-69.350898742675781;-107.36158752441406
210000465;-69.864089965820312;-105.36361694335937
216000464;-69.900588989257813;-102.98596954345703
222000463;-59.090667724609375;-95.049858093261719
228000462;-71.458076477050781;-106.92156982421875
234000461;-70.463539123535156;-98.542861938476563
240000460;-67.283775329589844;-97.162101745605469
246000459;-66.823646545410156;-98.011024475097656
252000458;-59.970989227294922;-97.57135009765625
258000457;-68.429222106933594;-99.000694274902344
264000456;-69.853652954101563;-102.38639831542969
270000455;-68.653327941894531;-108.44457244873047
276000454;-69.037384033203125;-95.800003051757813
282000453;-69.071929931640625;-108.11714172363281
288000452;-66.318534851074219;-97.692008972167969
294000451;-67.607017517089844;-103.13253784179687
300000450;-66.615982055664062;-102.69966888427734
306000449;-64.424522399902344;-102.35444641113281
312000448;-66.605613708496094;-94.334892272949219
318000447;-70.246429443359375;-100.05304718017578
324000446;-69.078071594238281;-100.66932678222656
330000445;-69.052932739257813;-123.54983520507812
336000444;-67.352760314941406;-102.10041809082031
342000443;-67.756629943847656;-96.171279907226563
348000442;-67.439285278320312;-106.29164886474609
354000441;-68.519927978515625;-102.17694854736328
360000440;-55.611843109130859;-98.622848510742188
366000439;-52.187641143798828;-97.113273620605469
372000438;-66.259254455566406;-96.929725646972656
378000437;-69.194038391113281;-104.77484893798828
384000436;-56.592266082763672;-93.902496337890625
390000435;-46.871055603027344;-88.877738952636719
396000434;-65.914253234863281;-98.516044616699219
402000433;-69.71087646484375;-100.02224731445312
408000432;-68.163673400878906;-114.18669891357422
414000431;-47.783634185791016;-98.545280456542969
420000430;-43.740859985351563;-71.372322082519531
426000429;-53.148105621337891;-82.305870056152344
432000428;-54.778152465820313;-93.229873657226562
438000427;-66.798652648925781;-97.310523986816406
444000426;-71.879501342773437;-91.07958984375
450000425;-67.656074523925781;-95.42083740234375
456000424;-53.482631683349609;-88.833244323730469
462000423;-49.931217193603516;-74.259666442871094
468000422;-57.016944885253906;-93.159523010253906
474000421;-70.424018859863281;-104.37998962402344
480000420;-67.634605407714844;-109.68055725097656
486000419;-64.872947692871094;-93.2843017578125
492000418;-70.165748596191406;-96.056045532226563
498000417;-64.866378784179687;-99.194046020507813
504000416;-68.642127990722656;-110.66310119628906
510000415;-68.144584655761719;-96.319976806640625
516000414;-43.107746124267578;-87.015342712402344
522000413;-40.355583190917969;-78.751007080078125
528000412;-54.572120666503906;-103.64473724365234
534000411;-70.455665588378906;-99.120079040527344
540000410;-69.562995910644531;-100.15050506591797
546000409;-70.683914184570313;-91.868438720703125
552000408;-67.963462829589844;-108.42390441894531
558000407;-70.271942138671875;-103.02008819580078
564000406;-71.296798706054687;-109.53248596191406
570000405;-44.204330444335938;-94.855209350585938
576000404;-41.015213012695313;-66.048561096191406
582000403;-43.607154846191406;-82.485374450683594
588000402;-70.464653015136719;-104.55801391601562
594000401;-71.247207641601562;-107.57932281494141
600000400;-70.51416015625;-97.623977661132813
606000399;-72.055862426757813;-100.65791320800781
612000398;-71.653312683105469;-107.88863372802734
618000397;-72.218841552734375;-100.968505859375
624000396;-69.212409973144531;-96.280036926269531
630000395;-71.393630981445313;-105.55349731445312
636000394;-71.542526245117188;-106.30938720703125
642000393;-70.837516784667969;-97.877372741699219
648000392;-71.356605529785156;-105.185791015625
654000391;-72.000686645507813;-106.92511749267578
660000390;-72.116485595703125;-100.95903778076172
666000389;-71.530754089355469;-103.93341827392578
672000388;-72.972373962402344;-98.991928100585938
678000387;-71.836509704589844;-98.146751403808594
684000386;-67.029220581054687;-101.90694427490234
690000385;-65.892669677734375;-97.254463195800781
696000384;-66.2244873046875;-117.83957672119141
702000383;-70.237785339355469;-103.98734283447266
708000382;-71.349777221679688;-98.537910461425781
714000381;-69.811027526855469;-98.822837829589844
720000380;-60.912029266357422;-93.601890563964844
726000379;-50.751960754394531;-79.6768798828125
732000378;-50.301132202148438;-86.7862548828125
738000377;-70.326225280761719;-100.44815063476562
744000376;-71.09063720703125;-102.14606475830078
750000375;-71.755279541015625;-109.74760437011719
756000374;-70.990158081054688;-105.55599975585937
762000373;-66.465736389160156;-99.783767700195313
768000372;-63.8099365234375;-90.017745971679688
774000371;-66.149192810058594;-102.49801635742187
780000370;-70.122589111328125;-107.84200286865234
786000369;-71.809188842773438;-104.17359161376953
792000368;-64.50091552734375;-107.43119812011719
798000367;-66.61383056640625;-94.215126037597656
804000366;-66.638641357421875;-95.977645874023438
810000365;-66.055686950683594;-93.230758666992188
816000364;-68.320602416992188;-102.78206634521484
822000363;-68.975059509277344;-94.089057922363281
828000362;-71.870254516601562;-102.66542816162109
834000361;-70.23333740234375;-107.2313232421875
840000360;-70.563484191894531;-96.004486083984375
846000359;-68.644828796386719;-98.583473205566406
852000358;-71.106193542480469;-95.590087890625
858000357;-69.966400146484375;-99.941719055175781
864000356;-69.669624328613281;-94.489387512207031
870000355;-69.532241821289063;-100.97052764892578
876000354;-67.478973388671875;-107.879638671875
882000353;-72.958961486816406;-106.53388977050781
888000352;-70.925163269042969;-104.97520446777344
894000351;-71.530654907226562;-108.42228698730469
900000350;-70.032501220703125;-100.31600189208984
906000349;-70.910652160644531;-98.379158020019531
912000348;-69.63623046875;-102.77135467529297
918000347;-71.182403564453125;-108.3990478515625
924000346;-64.491508483886719;-94.274917602539062
930000345;-63.687606811523438;-96.4515380859375
936000344;-32.660209655761719;-80.035713195800781
