Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.849112868309021;-52.651596069335938
6000499;-52.160816192626953;-84.926353454589844
12000498;-65.927009582519531;-99.469581604003906
18000497;-51.966106414794922;-96.151527404785156
24000496;-66.4415283203125;-94.720588684082031
30000495;-67.335311889648438;-94.224861145019531
36000494;-67.196762084960937;-102.32233428955078
42000493;-60.835567474365234;-98.428199768066406
48000492;-14.589389801025391;-95.496879577636719
54000491;-70.376846313476563;-113.49555206298828
60000490;-68.697647094726562;-98.044960021972656
66000489;-70.040168762207031;-102.57378387451172
72000488;-38.50518798828125;-88.111419677734375
78000487;-42.739700317382813;-97.948310852050781
84000486;-47.518348693847656;-93.384521484375
90000485;-42.746971130371094;-72.650070190429687
96000484;-33.156044006347656;-61.331001281738281
102000483;-35.792186737060547;-69.253067016601562
108000482;-47.757640838623047;-98.478462219238281
114000481;-70.289642333984375;-106.70057678222656
120000480;-70.543037414550781;-96.214797973632812
126000479;-67.941825866699219;-98.533370971679688
132000478;-60.725509643554687;-126.83634948730469
138000477;-64.903129577636719;-95.981796264648437
144000476;-63.819374084472656;-94.310737609863281
150000475;-69.619842529296875;-100.16976928710937
156000474;-66.399986267089844;-98.036415100097656
162000473;-56.644050598144531;-80.013267517089844
168000472;-60.372283935546875;-87.059494018554688
174000471;-63.270645141601563;-92.221405029296875
180000470;-44.321571350097656;-85.216018676757813
186000469;-38.028953552246094;-71.2208251953125
192000468;-40.012161254882813;-68.304084777832031
198000467;-63.791919708251953;-96.126853942871094
204000466;-66.496131896972656;-103.98807525634766
210000465;-69.362045288085938;-93.572288513183594
216000464;-58.001823425292969;-102.54227447509766
222000463;-67.32037353515625;-94.416976928710938
228000462;-56.758346557617188;-107.03073883056641
234000461;-68.616020202636719;-98.659378051757813
240000460;-68.935615539550781;-96.189338684082031
246000459;-57.511875152587891;-126.23824310302734
252000458;-59.473918914794922;-96.966835021972656
258000457;-71.627960205078125;-98.757049560546875
264000456;-69.781997680664062;-108.82948303222656
270000455;-60.396541595458984;-98.063316345214844
276000454;-68.773033142089844;-98.67510986328125
282000453;-71.334724426269531;-102.42355346679687
288000452;-68.3997802734375;-95.769905090332031
294000451;-66.635177612304688;-99.783470153808594
300000450;-65.985603332519531;-95.146820068359375
306000449;-69.373428344726562;-92.552474975585937
312000448;-68.706802368164062;-91.947242736816406
318000447;-68.340545654296875;-100.63048553466797
324000446;-65.014129638671875;-107.35896301269531
330000445;-68.6944580078125;-102.07505035400391
336000444;-69.731285095214844;-96.762702941894531
342000443;-69.97637939453125;-99.733970642089844
348000442;-69.3189697265625;-93.388191223144531
354000441;-65.384834289550781;-99.637413024902344
360000440;-56.219539642333984;-90.561653137207031
366000439;-52.406326293945312;-97.308143615722656
372000438;-58.314292907714844;-104.93470764160156
378000437;-69.181427001953125;-105.47348785400391
384000436;-52.880558013916016;-103.94385528564453
390000435;-47.250553131103516;-78.213821411132813
396000434;-63.590663909912109;-91.582710266113281
402000433;-67.003433227539063;-115.103515625
408000432;-69.179466247558594;-98.643936157226563
414000431;-51.011096954345703;-93.18359375
420000430;-44.330192565917969;-87.285537719726563
426000429;-52.292942047119141;-86.791893005371094
432000428;-62.279411315917969;-91.453300476074219
438000427;-67.63848876953125;-99.127082824707031
444000426;-69.713783264160156;-93.593765258789063
450000425;-70.558815002441406;-102.42308807373047
456000424;-55.482669830322266;-91.978378295898437
462000423;-56.689491271972656;-88.104293823242188
468000422;-56.365406036376953;-86.523971557617188
474000421;-70.861686706542969;-105.412841796875
480000420;-70.805305480957031;-101.26081085205078
486000419;-70.469375610351563;-122.50584411621094
492000418;-68.055335998535156;-100.96938323974609
498000417;-67.975372314453125;-95.629386901855469
504000416;-70.325294494628906;-99.258537292480469
510000415;-70.349311828613281;-96.395042419433594
516000414;-45.813289642333984;-93.668586730957031
522000413;-38.184371948242187;-65.837821960449219
528000412;-49.43829345703125;-94.696464538574219
534000411;-72.334716796875;-101.50460052490234
540000410;-69.394515991210937;-96.198944091796875
546000409;-71.434478759765625;-99.89178466796875
552000408;-70.818496704101563;-105.81359100341797
558000407;-71.034736633300781;-95.432060241699219
564000406;-68.781204223632812;-97.549156188964844
570000405;-47.971858978271484;-96.184898376464844
576000404;-40.508796691894531;-71.945426940917969
582000403;-41.833999633789063;-103.15242767333984
588000402;-72.708892822265625;-97.107551574707031
594000401;-69.787750244140625;-98.447456359863281
600000400;-71.303855895996094;-99.794120788574219
606000399;-70.858970642089844;-101.43706512451172
612000398;-69.632362365722656;-107.08653259277344
618000397;-72.165428161621094;-107.50302886962891
624000396;-71.476341247558594;-113.22002410888672
630000395;-70.95648193359375;-105.90357208251953
636000394;-70.185897827148438;-96.407402038574219
642000393;-70.715621948242187;-108.12685394287109
648000392;-70.507919311523437;-100.36943054199219
654000391;-70.787605285644531;-100.90822601318359
660000390;-70.551719665527344;-98.305740356445313
666000389;-71.723518371582031;-101.17311096191406
672000388;-72.344894409179687;-94.666358947753906
678000387;-71.105911254882813;-103.37612152099609
684000386;-65.10198974609375;-95.801521301269531
690000385;-64.664085388183594;-103.59465789794922
696000384;-69.119468688964844;-102.98516845703125
702000383;-70.552299499511719;-100.70364379882812
708000382;-69.999992370605469;-96.348129272460938
714000381;-71.103675842285156;-105.36528778076172
720000380;-61.136753082275391;-99.94097900390625
726000379;-48.196876525878906;-84.005531311035156
732000378;-48.638614654541016;-90.808219909667969
738000377;-67.231674194335937;-98.682563781738281
744000376;-71.392333984375;-106.23953247070312
750000375;-71.049461364746094;-105.18914794921875
756000374;-73.012123107910156;-96.69940185546875
762000373;-67.101058959960938;-100.80601501464844
768000372;-62.118942260742187;-105.79143524169922
774000371;-68.372634887695312;-98.378387451171875
780000370;-72.047599792480469;-96.833213806152344
786000369;-69.236320495605469;-100.71192932128906
792000368;-51.074752807617188;-106.46630859375
798000367;-54.057010650634766;-80.29705810546875
804000366;-59.741191864013672;-91.966064453125
810000365;-53.078891754150391;-109.39051818847656
816000364;-61.244216918945312;-93.681121826171875
822000363;-68.179656982421875;-99.632453918457031
828000362;-73.120552062988281;-97.831520080566406
834000361;-70.372726440429688;-99.419746398925781
840000360;-68.6417236328125;-106.92680358886719
846000359;-70.718902587890625;-97.027046203613281
852000358;-69.243637084960937;-102.02806854248047
858000357;-71.068328857421875;-99.781829833984375
864000356;-70.675575256347656;-101.76731109619141
870000355;-71.629730224609375;-113.39119720458984
876000354;-68.074317932128906;-108.17622375488281
882000353;-70.863189697265625;-109.81950378417969
888000352;-70.602874755859375;-100.41757202148437
894000351;-70.312271118164063;-100.43590545654297
900000350;-71.953239440917969;-112.1395263671875
906000349;-69.751220703125;-100.89756011962891
912000348;-71.105987548828125;-98.201385498046875
918000347;-71.171897888183594;-99.417747497558594
924000346;-63.574653625488281;-102.77622985839844
930000345;-67.117813110351563;-92.319007873535156
936000344;-33.190883636474609;-71.358627319335938
942000343;-34.059497833251953;-91.923027038574219
