Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8465263843536377;-51.801605224609375
6000499;-53.7088623046875;-89.475395202636719
12000498;-63.514537811279297;-94.820579528808594
18000497;-64.343391418457031;-90.439407348632813
24000496;-65.466888427734375;-94.77569580078125
30000495;-66.333671569824219;-97.215827941894531
36000494;-64.239288330078125;-98.027793884277344
42000493;-62.579463958740234;-111.58895874023437
48000492;-58.166728973388672;-99.061531066894531
54000491;-69.066864013671875;-97.4210205078125
60000490;-68.575843811035156;-101.71263885498047
66000489;-67.057342529296875;-102.00788116455078
72000488;-69.568618774414063;-95.628616333007813
78000487;-68.043899536132813;-106.46266937255859
84000486;-46.306758880615234;-101.62912750244141
90000485;-43.829540252685547;-67.590408325195313
96000484;-32.589347839355469;-58.285358428955078
102000483;-37.027580261230469;-71.271797180175781
108000482;-47.889202117919922;-94.749649047851562
114000481;-71.395278930664063;-98.264862060546875
120000480;-71.065170288085938;-103.47693634033203
126000479;-70.834564208984375;-98.402641296386719
132000478;-70.013198852539063;-95.194717407226563
138000477;-66.079887390136719;-126.41059112548828
144000476;-66.97003173828125;-102.13104248046875
150000475;-62.111488342285156;-99.563308715820313
156000474;-67.973838806152344;-98.622856140136719
162000473;-66.469528198242188;-99.996162414550781
168000472;-62.099773406982422;-87.374244689941406
174000471;-51.667163848876953;-98.079452514648438
180000470;-42.897686004638672;-74.271247863769531
186000469;-38.346233367919922;-72.20416259765625
192000468;-40.364757537841797;-89.172859191894531
198000467;-62.449737548828125;-96.864433288574219
204000466;-68.415847778320312;-99.281944274902344
210000465;-70.265762329101563;-103.64704132080078
216000464;-70.94281005859375;-94.978553771972656
222000463;-64.800682067871094;-94.590141296386719
228000462;-58.480377197265625;-108.11350250244141
234000461;-69.019287109375;-94.624237060546875
240000460;-66.411857604980469;-99.105598449707031
246000459;-65.809486389160156;-90.764747619628906
252000458;-58.403102874755859;-95.698471069335937
258000457;-68.6729736328125;-106.31547546386719
264000456;-57.543861389160156;-103.03273773193359
270000455;-71.206192016601562;-102.23184967041016
276000454;-70.426536560058594;-94.795783996582031
282000453;-71.289093017578125;-98.68939208984375
288000452;-67.838134765625;-99.842636108398438
294000451;-67.146919250488281;-95.244636535644531
300000450;-67.417121887207031;-89.556022644042969
306000449;-70.79168701171875;-96.543678283691406
312000448;-61.346672058105469;-92.296218872070313
318000447;-57.352195739746094;-95.944076538085938
324000446;-69.372062683105469;-100.78455352783203
330000445;-68.597312927246094;-98.809715270996094
336000444;-69.462234497070312;-103.06276702880859
342000443;-68.852333068847656;-107.07950592041016
348000442;-70.129791259765625;-97.920890808105469
354000441;-69.210517883300781;-93.880783081054687
360000440;-55.810615539550781;-98.0552978515625
366000439;-52.306865692138672;-94.571250915527344
372000438;-66.542640686035156;-99.73870849609375
378000437;-70.134323120117188;-97.6768798828125
384000436;-56.232231140136719;-93.337738037109375
390000435;-45.140972137451172;-76.002159118652344
396000434;-65.131065368652344;-96.522125244140625
402000433;-67.654098510742188;-93.293365478515625
408000432;-69.726760864257812;-97.705924987792969
414000431;-59.716457366943359;-95.941146850585938
420000430;-51.864669799804688;-98.040817260742188
426000429;-50.801967620849609;-93.612678527832031
432000428;-54.028934478759766;-89.846473693847656
438000427;-66.452720642089844;-97.293128967285156
444000426;-72.267578125;-102.51361083984375
450000425;-67.717910766601563;-93.817893981933594
456000424;-57.0982666015625;-101.65503692626953
462000423;-53.875747680664062;-94.680130004882813
468000422;-56.862174987792969;-92.450431823730469
474000421;-69.561042785644531;-106.84896850585937
480000420;-68.819465637207031;-96.664474487304688
486000419;-69.749931335449219;-114.79352569580078
492000418;-68.375144958496094;-94.109298706054688
498000417;-70.020225524902344;-112.73098754882812
504000416;-71.943695068359375;-95.092430114746094
510000415;-69.678108215332031;-100.52056884765625
516000414;-43.990867614746094;-97.441619873046875
522000413;-41.129005432128906;-74.446250915527344
528000412;-58.131690979003906;-95.211799621582031
534000411;-70.191307067871094;-100.18104553222656
540000410;-67.988624572753906;-108.78186798095703
546000409;-71.386917114257812;-102.15150451660156
552000408;-69.579788208007813;-107.07740783691406
558000407;-69.055007934570313;-103.77714538574219
564000406;-71.202926635742188;-99.314910888671875
570000405;-46.120967864990234;-94.551429748535156
576000404;-41.191844940185547;-72.359825134277344
582000403;-40.770450592041016;-87.630424499511719
588000402;-71.443458557128906;-112.16450500488281
594000401;-71.134170532226563;-102.03681945800781
600000400;-72.286064147949219;-102.30490875244141
606000399;-70.425758361816406;-108.23973846435547
612000398;-71.672317504882813;-95.680572509765625
618000397;-72.5643310546875;-112.43975830078125
624000396;-70.669898986816406;-111.07823181152344
630000395;-72.115463256835938;-108.10539245605469
636000394;-71.093650817871094;-94.565879821777344
642000393;-72.650146484375;-94.936485290527344
648000392;-71.955780029296875;-97.339065551757812
654000391;-69.678817749023437;-98.514999389648438
660000390;-71.014900207519531;-106.80953216552734
666000389;-71.776802062988281;-109.04624176025391
672000388;-71.149116516113281;-107.46875762939453
678000387;-70.35906982421875;-97.055305480957031
684000386;-63.858360290527344;-94.688125610351563
690000385;-60.957782745361328;-90.891654968261719
696000384;-71.140754699707031;-97.831779479980469
702000383;-71.496139526367188;-110.45181274414063
708000382;-69.851463317871094;-96.583381652832031
714000381;-73.129844665527344;-107.62624359130859
720000380;-63.318740844726562;-100.08786773681641
726000379;-49.36505126953125;-80.581794738769531
732000378;-48.451194763183594;-82.201637268066406
738000377;-69.730522155761719;-93.614028930664063
744000376;-70.154693603515625;-104.97887420654297
750000375;-68.648948669433594;-103.27027130126953
756000374;-72.553520202636719;-96.309555053710938
762000373;-68.020645141601562;-101.00788879394531
768000372;-62.121719360351563;-98.830329895019531
774000371;-67.663589477539062;-102.53319549560547
780000370;-72.02410888671875;-105.53143310546875
786000369;-70.428375244140625;-93.931861877441406
792000368;-64.677818298339844;-96.990516662597656
798000367;-65.276214599609375;-95.300392150878906
804000366;-62.82781982421875;-91.242332458496094
810000365;-66.677986145019531;-94.244384765625
816000364;-68.196731567382813;-102.48641967773437
822000363;-70.666877746582031;-98.066215515136719
828000362;-70.798423767089844;-94.451629638671875
834000361;-71.482467651367188;-98.003517150878906
840000360;-70.822944641113281;-94.357528686523438
846000359;-70.247901916503906;-95.66168212890625
852000358;-70.891792297363281;-95.550552368164062
858000357;-68.239723205566406;-119.87679290771484
864000356;-71.348823547363281;-100.38703918457031
870000355;-67.988945007324219;-99.470008850097656
876000354;-66.904396057128906;-96.677619934082031
882000353;-72.026374816894531;-99.302764892578125
888000352;-70.705810546875;-101.44062805175781
894000351;-71.48614501953125;-103.5882568359375
900000350;-71.563621520996094;-97.642494201660156
906000349;-71.119735717773438;-102.75752258300781
912000348;-68.4083251953125;-102.02017974853516
918000347;-70.177040100097656;-100.60894775390625
924000346;-65.517684936523438;-92.512786865234375
930000345;-64.7841796875;-92.138557434082031
936000344;-32.568264007568359;-76.10760498046875
