Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8443114757537842;-53.456073760986328
6000499;-53.006271362304687;-90.878097534179688
12000498;-65.4901123046875;-103.00006103515625
18000497;-66.100067138671875;-100.03716278076172
24000496;-62.590484619140625;-105.10345458984375
30000495;-68.720497131347656;-95.40435791015625
36000494;-67.120101928710937;-94.393669128417969
42000493;-63.779682159423828;-92.338546752929688
48000492;-62.401721954345703;-98.755058288574219
54000491;-30.328897476196289;-101.94198608398437
60000490;-69.574920654296875;-97.310577392578125
66000489;-68.237236022949219;-99.8143310546875
72000488;-68.164169311523437;-100.47309875488281
78000487;-63.113426208496094;-106.77510070800781
84000486;-36.48712158203125;-85.610572814941406
90000485;-41.391132354736328;-66.121025085449219
96000484;-33.393081665039063;-59.775997161865234
102000483;-37.921108245849609;-77.035430908203125
108000482;-44.237476348876953;-97.837051391601563
114000481;-51.99969482421875;-103.68048095703125
120000480;-72.482925415039063;-106.07105255126953
126000479;-69.348121643066406;-101.47046661376953
132000478;-70.062309265136719;-98.897193908691406
138000477;-68.090095520019531;-98.862220764160156
144000476;-64.982002258300781;-100.90499877929687
150000475;-71.601829528808594;-109.75154113769531
156000474;-69.310012817382812;-93.354530334472656
162000473;-66.722450256347656;-101.27549743652344
168000472;-62.897216796875;-89.243721008300781
174000471;-66.770561218261719;-97.7008056640625
180000470;-44.750720977783203;-83.489219665527344
186000469;-36.519668579101563;-73.714920043945313
192000468;-40.497821807861328;-76.622283935546875
198000467;-58.748931884765625;-96.7359619140625
204000466;-66.618438720703125;-96.355094909667969
210000465;-67.994766235351563;-104.06883239746094
216000464;-69.158241271972656;-103.37625122070312
222000463;-62.755767822265625;-87.915298461914063
228000462;-61.387901306152344;-101.09107971191406
234000461;-57.224819183349609;-93.091659545898438
240000460;-68.116981506347656;-99.899124145507813
246000459;-64.606422424316406;-93.901458740234375
252000458;-58.421184539794922;-99.712791442871094
258000457;-57.187145233154297;-94.91485595703125
264000456;-58.149044036865234;-94.088905334472656
270000455;-69.777122497558594;-99.369209289550781
276000454;-70.668159484863281;-107.83313751220703
282000453;-70.682075500488281;-101.12738800048828
288000452;-68.25518798828125;-92.943992614746094
294000451;-69.573768615722656;-103.72676086425781
300000450;-65.1689453125;-103.95748138427734
306000449;-69.861846923828125;-96.993171691894531
312000448;-70.542350769042969;-102.40003967285156
318000447;-59.415756225585938;-99.492889404296875
324000446;-70.323249816894531;-111.1915283203125
330000445;-69.398628234863281;-96.143821716308594
336000444;-69.38946533203125;-96.776466369628906
342000443;-70.869232177734375;-107.23149108886719
348000442;-64.134971618652344;-94.319656372070312
354000441;-66.524085998535156;-101.14434051513672
360000440;-56.538753509521484;-98.444450378417969
366000439;-52.419910430908203;-88.239044189453125
372000438;-69.038368225097656;-93.263435363769531
378000437;-59.012042999267578;-95.019088745117188
384000436;-57.873355865478516;-94.923255920410156
390000435;-46.407276153564453;-77.97802734375
396000434;-65.076271057128906;-101.51766967773437
402000433;-68.993057250976563;-104.18098449707031
408000432;-70.143173217773438;-103.81275177001953
414000431;-49.132396697998047;-97.2960205078125
420000430;-43.815292358398437;-78.703376770019531
426000429;-53.563102722167969;-74.953407287597656
432000428;-55.801841735839844;-96.875396728515625
438000427;-67.062767028808594;-106.92037963867187
444000426;-72.016632080078125;-95.678741455078125
450000425;-68.941940307617188;-96.805908203125
456000424;-54.537055969238281;-92.172927856445312
462000423;-52.731151580810547;-79.231620788574219
468000422;-56.342502593994141;-99.059364318847656
474000421;-68.665420532226562;-93.919624328613281
480000420;-69.871589660644531;-99.541618347167969
486000419;-70.696098327636719;-99.696533203125
492000418;-67.040756225585937;-111.73104095458984
498000417;-67.518760681152344;-99.823593139648437
504000416;-70.502349853515625;-98.907661437988281
510000415;-66.449310302734375;-94.02471923828125
516000414;-43.831508636474609;-81.425819396972656
522000413;-39.609115600585937;-74.259750366210938
528000412;-56.604091644287109;-95.440673828125
534000411;-71.225067138671875;-97.554122924804687
540000410;-68.002830505371094;-98.364875793457031
546000409;-71.81884765625;-103.01157379150391
552000408;-71.491142272949219;-102.82379150390625
558000407;-71.201095581054688;-98.042999267578125
564000406;-71.793174743652344;-110.73542785644531
570000405;-46.381202697753906;-102.70729827880859
576000404;-38.586208343505859;-61.740139007568359
582000403;-44.131328582763672;-94.872245788574219
588000402;-70.532981872558594;-97.799591064453125
594000401;-71.225090026855469;-106.79751586914062
600000400;-71.106910705566406;-97.977912902832031
606000399;-70.117530822753906;-108.94291687011719
612000398;-72.790718078613281;-100.81913757324219
618000397;-69.173423767089844;-93.836509704589844
624000396;-69.031242370605469;-111.62360382080078
630000395;-70.909751892089844;-98.807899475097656
636000394;-70.444252014160156;-101.48631286621094
642000393;-70.915618896484375;-101.24588012695312
648000392;-70.524650573730469;-97.659416198730469
654000391;-69.567108154296875;-100.06655120849609
660000390;-69.921501159667969;-102.82657623291016
666000389;-69.149909973144531;-104.98279571533203
672000388;-71.222282409667969;-103.56587219238281
678000387;-71.575187683105469;-120.37717437744141
684000386;-70.491035461425781;-104.20703887939453
690000385;-64.854530334472656;-92.250686645507813
696000384;-69.54150390625;-112.69376373291016
702000383;-69.936264038085938;-107.63055419921875
708000382;-71.282180786132813;-114.85695648193359
714000381;-70.660018920898438;-112.79933166503906
720000380;-67.029899597167969;-104.22158050537109
726000379;-49.034343719482422;-76.975273132324219
732000378;-48.924659729003906;-85.113655090332031
738000377;-70.042060852050781;-97.215957641601562
744000376;-70.562721252441406;-97.000045776367188
750000375;-72.645240783691406;-105.42143249511719
756000374;-72.3865966796875;-98.87646484375
762000373;-68.924087524414063;-110.72662353515625
768000372;-62.628787994384766;-95.091041564941406
774000371;-64.652687072753906;-102.63515472412109
780000370;-71.151557922363281;-112.16903686523437
786000369;-70.111534118652344;-103.78565216064453
792000368;-66.392066955566406;-94.804039001464844
798000367;-65.066139221191406;-96.325340270996094
804000366;-67.318740844726562;-100.72005462646484
810000365;-68.253921508789063;-106.49242401123047
816000364;-64.847282409667969;-101.82807922363281
822000363;-69.427566528320313;-104.03577423095703
828000362;-69.8724365234375;-101.09510803222656
834000361;-69.909149169921875;-103.18091583251953
840000360;-70.251411437988281;-134.98431396484375
846000359;-71.425811767578125;-103.57479095458984
852000358;-69.324325561523438;-107.91509246826172
858000357;-71.014976501464844;-100.74076080322266
864000356;-72.900398254394531;-97.009651184082031
870000355;-70.136085510253906;-102.45821380615234
876000354;-69.294960021972656;-100.19522094726562
882000353;-71.289688110351563;-107.65259552001953
888000352;-70.810188293457031;-115.60040283203125
894000351;-71.928352355957031;-108.49571990966797
900000350;-70.79510498046875;-99.519859313964844
906000349;-69.849403381347656;-101.60191345214844
912000348;-71.861083984375;-102.49996185302734
918000347;-71.959526062011719;-94.507675170898438
924000346;-65.241767883300781;-93.401039123535156
930000345;-63.489353179931641;-93.684547424316406
936000344;-29.274248123168945;-71.141204833984375
