Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8491401672363281;-53.269187927246094
6000499;-52.249683380126953;-90.943870544433594
12000498;-66.138298034667969;-94.525634765625
18000497;-61.479301452636719;-93.564659118652344
24000496;-55.582088470458984;-107.61199951171875
30000495;-68.106170654296875;-96.752349853515625
36000494;-66.550193786621094;-88.210189819335938
42000493;-55.347187042236328;-95.776809692382813
48000492;-20.460140228271484;-88.983604431152344
54000491;-67.474205017089844;-100.14019012451172
60000490;-69.425674438476563;-97.21087646484375
66000489;-70.705451965332031;-99.053382873535156
72000488;-57.731605529785156;-98.453575134277344
78000487;-37.562477111816406;-95.43389892578125
84000486;-47.222305297851563;-95.884292602539063
90000485;-42.287521362304688;-76.386802673339844
96000484;-33.052696228027344;-61.590469360351563
102000483;-36.517593383789063;-65.366043090820313
108000482;-47.908634185791016;-93.739517211914062
114000481;-69.284454345703125;-106.97257995605469
120000480;-68.499893188476562;-105.61051940917969
126000479;-70.966079711914062;-96.827842712402344
132000478;-57.015987396240234;-100.97124481201172
138000477;-68.560050964355469;-99.653724670410156
144000476;-64.435066223144531;-102.229736328125
150000475;-67.732551574707031;-92.832695007324219
156000474;-69.240570068359375;-92.385368347167969
162000473;-59.979217529296875;-96.168800354003906
168000472;-62.491909027099609;-90.725395202636719
174000471;-64.979087829589844;-105.83036804199219
180000470;-42.303501129150391;-72.065353393554688
186000469;-35.129356384277344;-66.943717956542969
192000468;-38.732166290283203;-65.127922058105469
198000467;-61.411869049072266;-104.80622863769531
204000466;-69.565452575683594;-106.51439666748047
210000465;-70.143135070800781;-97.901084899902344
216000464;-55.389884948730469;-97.0091552734375
222000463;-68.549797058105469;-96.527900695800781
228000462;-69.823265075683594;-101.27410125732422
234000461;-67.699851989746094;-101.86582183837891
240000460;-69.016288757324219;-103.67089080810547
246000459;-51.162315368652344;-93.47613525390625
252000458;-67.226432800292969;-96.271240234375
258000457;-71.289093017578125;-106.19483184814453
264000456;-70.345939636230469;-102.07418823242187
270000455;-71.682243347167969;-104.12581634521484
276000454;-71.006439208984375;-102.73844909667969
282000453;-71.796905517578125;-105.626708984375
288000452;-68.564910888671875;-100.79795074462891
294000451;-68.922523498535156;-95.419151306152344
300000450;-67.151161193847656;-99.881568908691406
306000449;-70.381324768066406;-102.95803070068359
312000448;-67.052352905273438;-105.13840484619141
318000447;-68.735328674316406;-93.275009155273437
324000446;-68.951187133789063;-95.381752014160156
330000445;-68.631301879882813;-96.287109375
336000444;-69.186988830566406;-107.00896453857422
342000443;-69.749504089355469;-113.00271606445312
348000442;-69.254356384277344;-93.561569213867187
354000441;-66.663581848144531;-105.65801239013672
360000440;-55.972621917724609;-105.43988037109375
366000439;-52.410442352294922;-86.433120727539063
372000438;-65.058425903320312;-103.77487945556641
378000437;-68.918540954589844;-101.570068359375
384000436;-57.376087188720703;-95.7388916015625
390000435;-47.072864532470703;-78.263755798339844
396000434;-66.816535949707031;-99.702812194824219
402000433;-69.152915954589844;-102.5845947265625
408000432;-69.295578002929688;-105.92465972900391
414000431;-55.225715637207031;-96.193122863769531
420000430;-50.320095062255859;-81.380134582519531
426000429;-53.711669921875;-86.416419982910156
432000428;-59.981281280517578;-95.518234252929688
438000427;-69.396018981933594;-93.168022155761719
444000426;-67.779441833496094;-96.666816711425781
450000425;-68.931602478027344;-99.788749694824219
456000424;-53.315967559814453;-92.663986206054687
462000423;-54.1739501953125;-80.068893432617188
468000422;-56.427093505859375;-90.578025817871094
474000421;-70.894447326660156;-94.031112670898438
480000420;-70.607269287109375;-101.52639007568359
486000419;-70.718307495117187;-95.81427001953125
492000418;-69.450775146484375;-100.33403015136719
498000417;-64.886497497558594;-110.79279327392578
504000416;-69.09832763671875;-113.80879211425781
510000415;-68.966468811035156;-95.383087158203125
516000414;-45.095954895019531;-88.033500671386719
522000413;-44.6549072265625;-72.909912109375
528000412;-60.146762847900391;-96.168022155761719
534000411;-71.377494812011719;-104.78488922119141
540000410;-69.55816650390625;-97.230377197265625
546000409;-67.700592041015625;-106.59276580810547
552000408;-65.343338012695313;-101.61083984375
558000407;-67.87005615234375;-100.92503356933594
564000406;-68.21734619140625;-111.07608795166016
570000405;-48.200618743896484;-95.615028381347656
576000404;-38.881420135498047;-69.336807250976562
582000403;-42.614601135253906;-108.47037506103516
588000402;-72.363182067871094;-99.776893615722656
594000401;-71.520751953125;-99.056938171386719
600000400;-71.364303588867188;-111.12222290039062
606000399;-70.677528381347656;-97.1348876953125
612000398;-70.852920532226563;-104.34464263916016
618000397;-72.071571350097656;-106.57514953613281
624000396;-67.487800598144531;-92.197319030761719
630000395;-69.024894714355469;-104.30673217773437
636000394;-70.213645935058594;-100.64942932128906
642000393;-69.55645751953125;-96.613296508789063
648000392;-68.367332458496094;-113.32267761230469
654000391;-69.593406677246094;-98.787040710449219
660000390;-67.145439147949219;-113.45244598388672
666000389;-69.452568054199219;-115.17165374755859
672000388;-70.196250915527344;-96.453079223632813
678000387;-71.135360717773438;-106.5455322265625
684000386;-63.411521911621094;-95.919677734375
690000385;-64.966934204101563;-87.200401306152344
696000384;-67.582168579101563;-99.87255859375
702000383;-72.81207275390625;-102.88841247558594
708000382;-70.416107177734375;-100.40735626220703
714000381;-71.6644287109375;-100.92337036132812
720000380;-61.005516052246094;-95.38238525390625
726000379;-50.987430572509766;-104.38006591796875
732000378;-52.061397552490234;-87.094841003417969
738000377;-71.209121704101563;-94.160263061523438
744000376;-71.195556640625;-103.93553161621094
750000375;-71.65057373046875;-102.94282531738281
756000374;-71.762344360351563;-104.33903503417969
762000373;-68.559272766113281;-105.34884643554687
768000372;-65.642723083496094;-94.433830261230469
774000371;-67.842742919921875;-103.46255493164062
780000370;-69.215324401855469;-108.18881225585937
786000369;-69.459747314453125;-104.33374786376953
792000368;-53.775875091552734;-98.465049743652344
798000367;-57.417194366455078;-89.470108032226562
804000366;-58.637531280517578;-93.418479919433594
810000365;-55.081333160400391;-82.966522216796875
816000364;-57.969982147216797;-99.21905517578125
822000363;-70.905632019042969;-96.325767517089844
828000362;-73.1903076171875;-104.55564117431641
834000361;-71.112747192382812;-102.76520538330078
840000360;-68.513290405273438;-107.85260009765625
846000359;-72.168655395507812;-101.56662750244141
852000358;-70.09271240234375;-102.55860137939453
858000357;-71.281753540039063;-97.726821899414063
864000356;-72.197578430175781;-102.53280639648437
870000355;-69.831756591796875;-115.9725341796875
876000354;-70.253875732421875;-96.101341247558594
882000353;-73.089706420898437;-98.137580871582031
888000352;-70.669364929199219;-107.5933837890625
894000351;-72.329338073730469;-99.56134033203125
900000350;-71.373519897460938;-96.150932312011719
906000349;-71.327728271484375;-98.868255615234375
912000348;-70.667190551757812;-97.352134704589844
918000347;-71.308563232421875;-104.07471466064453
924000346;-63.537574768066406;-110.43242645263672
930000345;-63.420597076416016;-95.847213745117188
936000344;-33.734241485595703;-79.838478088378906
942000343;-34.123001098632812;-75.367782592773438
