Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8448163270950317;-52.876518249511719
6000499;-52.816551208496094;-95.311882019042969
12000498;-65.474067687988281;-99.113479614257813
18000497;-52.564468383789063;-97.916038513183594
24000496;-67.233757019042969;-92.257331848144531
30000495;-68.784004211425781;-94.251373291015625
36000494;-48.005851745605469;-91.488861083984375
42000493;-60.33001708984375;-107.26431274414062
48000492;-63.646575927734375;-95.224029541015625
54000491;-71.175453186035156;-105.09363555908203
60000490;-69.568794250488281;-106.54151916503906
66000489;-71.764183044433594;-107.41855621337891
72000488;-70.761886596679688;-99.018226623535156
78000487;-63.589717864990234;-87.227912902832031
84000486;-49.276824951171875;-97.528099060058594
90000485;-41.665615081787109;-67.979255676269531
96000484;-33.194423675537109;-54.876712799072266
102000483;-35.962329864501953;-79.229728698730469
108000482;-46.576728820800781;-97.617263793945313
114000481;-70.615585327148437;-98.712989807128906
120000480;-71.361495971679688;-100.98765563964844
126000479;-72.514930725097656;-103.64851379394531
132000478;-69.723037719726562;-106.64239501953125
138000477;-66.36773681640625;-97.585151672363281
144000476;-63.294384002685547;-117.38079833984375
150000475;-67.64129638671875;-106.98100280761719
156000474;-68.184219360351563;-100.98004913330078
162000473;-66.268310546875;-93.086082458496094
168000472;-61.328392028808594;-91.553024291992187
174000471;-64.949996948242187;-92.929672241210937
180000470;-45.648971557617188;-84.878898620605469
186000469;-37.917652130126953;-79.582847595214844
192000468;-40.374271392822266;-68.67169189453125
198000467;-59.972476959228516;-113.15911102294922
204000466;-70.709617614746094;-113.58222198486328
210000465;-69.292694091796875;-103.80724334716797
216000464;-70.163223266601563;-99.271629333496094
222000463;-67.572883605957031;-105.00584411621094
228000462;-58.470447540283203;-97.485870361328125
234000461;-68.549484252929688;-99.257652282714844
240000460;-70.483985900878906;-101.94100189208984
246000459;-63.589202880859375;-102.87373352050781
252000458;-63.687076568603516;-96.350112915039063
258000457;-71.371017456054687;-105.97917938232422
264000456;-65.182174682617188;-101.78484344482422
270000455;-67.106277465820312;-94.674896240234375
276000454;-71.383377075195313;-94.713554382324219
282000453;-70.835746765136719;-98.109489440917969
288000452;-68.401939392089844;-99.737052917480469
294000451;-68.219696044921875;-94.075782775878906
300000450;-66.2071533203125;-96.078910827636719
306000449;-67.50177001953125;-103.74247741699219
312000448;-68.662857055664062;-99.174629211425781
318000447;-68.935592651367187;-95.880088806152344
324000446;-67.919784545898437;-102.23722076416016
330000445;-67.908294677734375;-104.44797515869141
336000444;-68.016983032226563;-102.34098815917969
342000443;-69.133827209472656;-104.43690490722656
348000442;-69.23846435546875;-103.07856750488281
354000441;-66.430328369140625;-96.16064453125
360000440;-56.23223876953125;-88.222969055175781
366000439;-51.621200561523438;-84.765037536621094
372000438;-66.170021057128906;-99.732177734375
378000437;-68.856407165527344;-96.94305419921875
384000436;-54.079891204833984;-97.899383544921875
390000435;-45.598834991455078;-81.512039184570313
396000434;-65.701469421386719;-92.739799499511719
402000433;-69.872718811035156;-112.33921813964844
408000432;-71.193229675292969;-91.91717529296875
414000431;-47.833305358886719;-96.865264892578125
420000430;-43.776077270507813;-74.78515625
426000429;-51.216445922851562;-85.301475524902344
432000428;-55.453227996826172;-106.04962921142578
438000427;-70.059219360351562;-114.35037994384766
444000426;-68.439979553222656;-98.212646484375
450000425;-71.403823852539062;-95.914726257324219
456000424;-53.680248260498047;-91.896690368652344
462000423;-51.960521697998047;-82.955635070800781
468000422;-56.788257598876953;-103.31904602050781
474000421;-68.624359130859375;-105.36883544921875
480000420;-69.455146789550781;-98.178009033203125
486000419;-67.340629577636719;-97.367950439453125
492000418;-70.461624145507813;-99.570396423339844
498000417;-67.546150207519531;-95.035682678222656
504000416;-69.34283447265625;-108.81949615478516
510000415;-66.453544616699219;-99.413932800292969
516000414;-43.504978179931641;-78.977012634277344
522000413;-42.250492095947266;-85.62982177734375
528000412;-54.60565185546875;-92.0560302734375
534000411;-71.676727294921875;-102.23542785644531
540000410;-69.214714050292969;-94.928512573242188
546000409;-69.833831787109375;-96.645294189453125
552000408;-70.818153381347656;-103.32954406738281
558000407;-69.000778198242188;-92.529869079589844
564000406;-68.636703491210938;-102.55372619628906
570000405;-44.936557769775391;-94.814582824707031
576000404;-40.314788818359375;-78.563095092773438
582000403;-41.913616180419922;-89.994522094726563
588000402;-68.634529113769531;-119.84244537353516
594000401;-71.669357299804688;-100.54904937744141
600000400;-70.722251892089844;-98.958244323730469
606000399;-68.466880798339844;-101.06526184082031
612000398;-71.242988586425781;-98.296432495117188
618000397;-71.769851684570313;-100.29378509521484
624000396;-68.970428466796875;-99.182403564453125
630000395;-71.067146301269531;-95.503082275390625
636000394;-72.49261474609375;-102.39483642578125
642000393;-70.796577453613281;-104.40818023681641
648000392;-71.006423950195313;-103.40584564208984
654000391;-71.894142150878906;-97.819107055664063
660000390;-69.717475891113281;-108.52004241943359
666000389;-71.745849609375;-94.537696838378906
672000388;-70.538414001464844;-113.69712066650391
678000387;-71.445610046386719;-112.62309265136719
684000386;-65.774322509765625;-90.606407165527344
690000385;-64.668312072753906;-93.331008911132813
696000384;-70.348007202148438;-99.915390014648438
702000383;-72.634162902832031;-107.08689117431641
708000382;-71.534988403320313;-93.944023132324219
714000381;-70.1123046875;-102.07527160644531
720000380;-62.586818695068359;-103.03334808349609
726000379;-50.193874359130859;-83.427276611328125
732000378;-49.079200744628906;-93.319717407226562
738000377;-70.583480834960937;-96.664131164550781
744000376;-70.434471130371094;-109.83668518066406
750000375;-71.898399353027344;-122.91957092285156
756000374;-69.475395202636719;-96.838706970214844
762000373;-62.551887512207031;-103.62255096435547
768000372;-63.471221923828125;-96.982009887695312
774000371;-67.676727294921875;-114.09016418457031
780000370;-70.03118896484375;-119.14633178710937
786000369;-71.899879455566406;-103.40461730957031
792000368;-64.343544006347656;-105.30474853515625
798000367;-62.547878265380859;-90.0333251953125
804000366;-61.464195251464844;-86.79144287109375
810000365;-64.566551208496094;-93.458480834960937
816000364;-69.081367492675781;-111.61972808837891
822000363;-69.507537841796875;-103.31826019287109
828000362;-71.319366455078125;-101.84426879882812
834000361;-69.98638916015625;-108.91773986816406
840000360;-70.658721923828125;-99.633621215820313
846000359;-70.538108825683594;-101.12241363525391
852000358;-72.297134399414063;-102.36714935302734
858000357;-72.302650451660156;-102.42912292480469
864000356;-71.224143981933594;-94.384361267089844
870000355;-69.214698791503906;-98.451820373535156
876000354;-66.868598937988281;-97.908065795898438
882000353;-71.391342163085938;-115.77333068847656
888000352;-71.047737121582031;-103.91513824462891
894000351;-72.701980590820313;-100.0277099609375
900000350;-69.809333801269531;-111.14004516601562
906000349;-72.453941345214844;-105.47923278808594
912000348;-68.657371520996094;-95.315414428710938
918000347;-71.3082275390625;-96.503005981445313
924000346;-64.548202514648438;-98.585662841796875
930000345;-61.561004638671875;-109.43003082275391
936000344;-33.888423919677734;-72.960960388183594
