Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8582470417022705;-51.978897094726562
6000499;-51.646587371826172;-94.809440612792969
12000498;-53.181186676025391;-96.069770812988281
18000497;-49.871482849121094;-98.550933837890625
24000496;-49.709068298339844;-87.2506103515625
30000495;-42.706226348876953;-83.935859680175781
36000494;-39.037189483642578;-96.822822570800781
42000493;-26.095371246337891;-83.526931762695312
48000492;-30.364681243896484;-99.965560913085938
54000491;-35.362545013427734;-92.933097839355469
60000490;-43.930126190185547;-103.86241149902344
66000489;-35.133003234863281;-93.5941162109375
72000488;-47.226917266845703;-106.69010925292969
78000487;-47.343017578125;-98.176559448242188
84000486;-39.822738647460938;-86.526664733886719
90000485;-36.531990051269531;-75.100189208984375
96000484;-36.06683349609375;-60.134323120117187
102000483;-36.284633636474609;-62.092929840087891
108000482;-44.413322448730469;-84.740432739257813
114000481;-58.877861022949219;-106.86695861816406
120000480;-46.073284149169922;-87.827423095703125
126000479;-51.733203887939453;-95.600067138671875
132000478;-59.488933563232422;-98.976173400878906
138000477;-60.684707641601563;-100.49079895019531
144000476;-52.493648529052734;-96.933380126953125
150000475;-56.284343719482422;-99.307785034179688
156000474;-47.932762145996094;-89.164100646972656
162000473;-44.35430908203125;-84.533843994140625
168000472;-39.968658447265625;-82.66973876953125
174000471;-48.206367492675781;-101.44808959960937
180000470;-35.603836059570313;-64.465309143066406
186000469;-32.659091949462891;-62.723922729492188
192000468;-28.98414421081543;-66.621551513671875
198000467;-57.224925994873047;-101.117919921875
204000466;-50.158065795898438;-104.18103790283203
210000465;-47.357856750488281;-96.101707458496094
216000464;-46.106803894042969;-106.05317687988281
222000463;-55.635799407958984;-96.374053955078125
228000462;-53.946025848388672;-108.23042297363281
234000461;-61.440460205078125;-116.96475219726562
240000460;-54.122814178466797;-95.163948059082031
246000459;-57.477836608886719;-92.782073974609375
252000458;-54.910934448242188;-98.055374145507813
258000457;-69.110298156738281;-101.09065246582031
264000456;-52.277557373046875;-98.936454772949219
270000455;-63.481792449951172;-88.786209106445313
276000454;-63.172607421875;-96.81927490234375
282000453;-61.633155822753906;-92.853759765625
288000452;-60.82440185546875;-103.49911499023437
294000451;-62.635929107666016;-88.854209899902344
300000450;-55.554801940917969;-95.8966064453125
306000449;-63.747188568115234;-98.110519409179688
312000448;-61.775409698486328;-93.28857421875
318000447;-55.665298461914063;-98.686599731445313
324000446;-61.506912231445313;-94.401840209960937
330000445;-66.992950439453125;-101.46904754638672
336000444;-68.731239318847656;-97.3358154296875
342000443;-53.728000640869141;-97.732612609863281
348000442;-56.661342620849609;-97.146514892578125
354000441;-58.729770660400391;-91.463043212890625
360000440;-55.1201171875;-93.314430236816406
366000439;-54.704082489013672;-84.922225952148437
372000438;-59.871784210205078;-104.99428558349609
378000437;-52.391765594482422;-102.67014312744141
384000436;-53.991924285888672;-108.6141357421875
390000435;-47.452365875244141;-79.789199829101563
396000434;-56.320957183837891;-104.49681091308594
402000433;-67.418701171875;-99.486099243164062
408000432;-54.620853424072266;-105.22374725341797
414000431;-42.332176208496094;-93.93023681640625
420000430;-34.304294586181641;-65.233070373535156
426000429;-49.036285400390625;-75.224296569824219
432000428;-53.992229461669922;-91.507957458496094
438000427;-66.140853881835937;-105.36814117431641
444000426;-56.368011474609375;-100.60261535644531
450000425;-62.990837097167969;-100.39131164550781
456000424;-56.932098388671875;-93.936447143554687
462000423;-57.493007659912109;-88.255340576171875
468000422;-65.113609313964844;-97.965431213378906
474000421;-54.811511993408203;-96.102508544921875
480000420;-59.519962310791016;-100.6068115234375
486000419;-56.031227111816406;-96.731735229492188
492000418;-60.655597686767578;-104.14959716796875
498000417;-64.367195129394531;-101.75026702880859
504000416;-68.468574523925781;-98.331352233886719
510000415;-58.195064544677734;-115.91410827636719
516000414;-50.988380432128906;-82.6339111328125
522000413;-44.425251007080078;-76.370315551757813
528000412;-51.224685668945313;-101.64557647705078
534000411;-70.61016845703125;-108.07171630859375
540000410;-71.744918823242188;-100.39578247070312
546000409;-71.041664123535156;-98.952865600585938
552000408;-69.186607360839844;-103.79315185546875
558000407;-70.82611083984375;-108.59278106689453
564000406;-70.321296691894531;-94.770950317382813
570000405;-56.849334716796875;-96.456626892089844
576000404;-45.727615356445313;-82.894668579101563
582000403;-45.795345306396484;-90.435264587402344
588000402;-71.417472839355469;-95.974472045898437
594000401;-69.078941345214844;-95.6898193359375
600000400;-71.426673889160156;-101.11017608642578
606000399;-70.340629577636719;-105.10453796386719
612000398;-70.821853637695313;-101.02431488037109
618000397;-70.308311462402344;-100.73894500732422
624000396;-69.885658264160156;-101.85532379150391
630000395;-68.769065856933594;-103.41804504394531
636000394;-71.989189147949219;-97.096366882324219
642000393;-68.582344055175781;-107.25379943847656
648000392;-70.294517517089844;-112.81071472167969
654000391;-72.9393310546875;-98.639938354492188
660000390;-71.547164916992188;-95.430068969726563
666000389;-70.675186157226562;-97.25
672000388;-68.830177307128906;-101.98980712890625
678000387;-70.307380676269531;-101.81964111328125
684000386;-64.572578430175781;-95.0732421875
690000385;-62.027740478515625;-94.253044128417969
696000384;-70.59710693359375;-104.01762390136719
702000383;-72.14898681640625;-98.807487487792969
708000382;-69.966949462890625;-99.977920532226563
714000381;-69.336189270019531;-101.87857055664062
720000380;-65.984184265136719;-99.619300842285156
726000379;-51.114395141601563;-87.669273376464844
732000378;-49.756282806396484;-79.916145324707031
738000377;-64.730583190917969;-94.928543090820313
744000376;-72.169929504394531;-102.78615570068359
750000375;-69.917671203613281;-91.146041870117188
756000374;-70.387535095214844;-101.55960083007812
762000373;-63.275859832763672;-94.419517517089844
768000372;-60.028110504150391;-89.103324890136719
774000371;-60.566028594970703;-93.879348754882813
780000370;-68.960350036621094;-97.122879028320312
786000369;-66.55023193359375;-104.22665405273437
792000368;-59.381168365478516;-96.136703491210937
798000367;-59.569889068603516;-88.94757080078125
804000366;-58.721187591552734;-89.403671264648438
810000365;-63.689472198486328;-95.350509643554688
816000364;-62.284126281738281;-86.698356628417969
822000363;-67.616958618164062;-94.800636291503906
828000362;-70.163833618164062;-99.435531616210937
834000361;-69.712738037109375;-94.472450256347656
840000360;-72.873001098632813;-107.06815338134766
846000359;-70.431793212890625;-98.677490234375
852000358;-71.678329467773438;-102.55439758300781
858000357;-72.342674255371094;-104.64868927001953
864000356;-71.9635009765625;-100.67500305175781
870000355;-70.608451843261719;-98.4674072265625
876000354;-70.483497619628906;-95.969863891601563
882000353;-71.627960205078125;-98.260711669921875
888000352;-72.167701721191406;-104.78572082519531
894000351;-71.095268249511719;-108.87252044677734
900000350;-71.701866149902344;-104.95986175537109
906000349;-71.165077209472656;-100.86005401611328
912000348;-69.789779663085938;-100.45472717285156
918000347;-71.4478759765625;-97.905059814453125
924000346;-61.787429809570312;-90.609573364257813
930000345;-55.617412567138672;-100.39914703369141
936000344;-25.870662689208984;-56.336387634277344
942000343;-24.794166564941406;-69.942909240722656
