Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8651864528656006;-52.550716400146484
6000499;-53.773273468017578;-100.77986907958984
12000498;-56.104438781738281;-91.765823364257813
18000497;-43.730361938476562;-91.225822448730469
24000496;-43.336357116699219;-96.247329711914063
30000495;-43.321907043457031;-90.363555908203125
36000494;-47.588142395019531;-92.140777587890625
42000493;-32.200798034667969;-88.396812438964844
48000492;-40.391895294189453;-88.657058715820313
54000491;-40.674526214599609;-93.365562438964844
60000490;-34.36199951171875;-92.874061584472656
66000489;-39.612533569335937;-90.298866271972656
72000488;-50.091114044189453;-100.00066375732422
78000487;-52.060317993164063;-93.681694030761719
84000486;-37.205451965332031;-84.260414123535156
90000485;-43.054508209228516;-78.037109375
96000484;-37.081016540527344;-67.735427856445313
102000483;-38.271587371826172;-71.779762268066406
108000482;-48.16180419921875;-90.175094604492188
114000481;-60.394252777099609;-126.53060150146484
120000480;-49.546688079833984;-93.790321350097656
126000479;-53.936283111572266;-101.20318603515625
132000478;-61.831615447998047;-99.477813720703125
138000477;-64.331047058105469;-99.069206237792969
144000476;-60.019710540771484;-91.710334777832031
150000475;-57.745090484619141;-103.22352600097656
156000474;-48.801544189453125;-102.32919311523437
162000473;-43.361255645751953;-89.90399169921875
168000472;-56.326190948486328;-83.101181030273437
174000471;-39.907203674316406;-87.301116943359375
180000470;-35.041606903076172;-75.698081970214844
186000469;-37.005805969238281;-63.703411102294922
192000468;-34.921604156494141;-64.03704833984375
198000467;-53.621734619140625;-92.316452026367188
204000466;-58.515785217285156;-99.219161987304688
210000465;-50.267894744873047;-103.31133270263672
216000464;-67.955375671386719;-95.994064331054688
222000463;-52.108905792236328;-98.312789916992188
228000462;-56.528114318847656;-95.740653991699219
234000461;-53.827972412109375;-90.08709716796875
240000460;-60.336654663085938;-100.81534576416016
246000459;-49.679924011230469;-90.446624755859375
252000458;-68.687553405761719;-109.07727813720703
258000457;-53.285091400146484;-104.07479858398437
264000456;-54.573104858398438;-99.347404479980469
270000455;-62.381130218505859;-99.525497436523438
276000454;-57.952812194824219;-111.72113037109375
282000453;-67.745033264160156;-97.202499389648437
288000452;-67.420913696289063;-109.99860382080078
294000451;-57.617630004882813;-107.66417694091797
300000450;-63.687057495117187;-93.990036010742188
306000449;-65.806625366210937;-96.556968688964844
312000448;-58.178726196289062;-91.491989135742187
318000447;-58.685947418212891;-100.24469757080078
324000446;-63.356189727783203;-94.277565002441406
330000445;-64.989219665527344;-101.30738830566406
336000444;-54.351142883300781;-103.5145263671875
342000443;-57.609294891357422;-105.28868865966797
348000442;-62.641593933105469;-95.9737548828125
354000441;-69.262275695800781;-104.55049133300781
360000440;-50.892398834228516;-98.988037109375
366000439;-57.450080871582031;-95.726982116699219
372000438;-60.050743103027344;-96.285690307617188
378000437;-59.586997985839844;-105.14451599121094
384000436;-49.281452178955078;-105.24215698242187
390000435;-44.906589508056641;-83.909934997558594
396000434;-58.636150360107422;-94.0665283203125
402000433;-69.24072265625;-107.13317108154297
408000432;-50.580493927001953;-91.126541137695312
414000431;-42.522308349609375;-103.07441711425781
420000430;-34.930683135986328;-72.021430969238281
426000429;-49.488941192626953;-74.922378540039062
432000428;-50.110099792480469;-88.464927673339844
438000427;-65.506790161132813;-103.46649932861328
444000426;-64.45599365234375;-103.18172454833984
450000425;-56.787345886230469;-102.95890045166016
456000424;-61.227954864501953;-104.67321014404297
462000423;-62.423698425292969;-91.013954162597656
468000422;-56.670387268066406;-90.146400451660156
474000421;-64.192314147949219;-98.081268310546875
480000420;-55.626152038574219;-92.324615478515625
486000419;-62.296596527099609;-100.31047058105469
492000418;-60.696567535400391;-92.614463806152344
498000417;-63.064846038818359;-107.12070465087891
504000416;-65.488883972167969;-97.531539916992188
510000415;-67.291259765625;-104.95516204833984
516000414;-45.590496063232422;-96.241584777832031
522000413;-47.277015686035156;-77.559585571289062
528000412;-60.759315490722656;-93.715164184570313
534000411;-67.461555480957031;-95.06988525390625
540000410;-68.480125427246094;-105.78469848632812
546000409;-69.438072204589844;-109.47396087646484
552000408;-70.381881713867188;-96.724784851074219
558000407;-67.4146728515625;-97.429313659667969
564000406;-70.799476623535156;-99.87713623046875
570000405;-53.634677886962891;-95.229713439941406
576000404;-44.739608764648438;-77.464950561523438
582000403;-49.070629119873047;-88.781402587890625
588000402;-71.612091064453125;-105.39550018310547
594000401;-71.475669860839844;-97.914787292480469
600000400;-70.438339233398438;-109.53859710693359
606000399;-71.778038024902344;-104.58328247070312
612000398;-72.083305358886719;-109.75640106201172
618000397;-69.105659484863281;-102.20426177978516
624000396;-70.908576965332031;-115.19814300537109
630000395;-71.388648986816406;-96.886070251464844
636000394;-70.3570556640625;-101.32874298095703
642000393;-70.770050048828125;-103.11368560791016
648000392;-69.9920654296875;-108.75943756103516
654000391;-71.624618530273438;-104.53277587890625
660000390;-71.23492431640625;-103.47026824951172
666000389;-70.656234741210937;-104.03921508789062
672000388;-71.455291748046875;-96.301132202148438
678000387;-71.46722412109375;-101.51213836669922
684000386;-67.564598083496094;-98.375419616699219
690000385;-62.110771179199219;-94.172492980957031
696000384;-65.226509094238281;-98.682792663574219
702000383;-71.793022155761719;-98.552658081054688
708000382;-70.338165283203125;-100.45641326904297
714000381;-70.195671081542969;-99.146064758300781
720000380;-68.798118591308594;-102.33446502685547
726000379;-51.493160247802734;-88.827156066894531
732000378;-50.486419677734375;-80.492271423339844
738000377;-65.362411499023438;-96.582954406738281
744000376;-70.521095275878906;-101.3768310546875
750000375;-70.69134521484375;-97.342048645019531
756000374;-70.70819091796875;-104.43235015869141
762000373;-60.645076751708984;-98.64007568359375
768000372;-57.160064697265625;-82.114555358886719
774000371;-56.575595855712891;-94.380035400390625
780000370;-68.169296264648438;-100.21486663818359
786000369;-67.81805419921875;-106.24237060546875
792000368;-65.531387329101563;-94.083457946777344
798000367;-58.389545440673828;-94.082565307617188
804000366;-50.878879547119141;-85.917282104492188
810000365;-48.994491577148438;-79.681190490722656
816000364;-56.549076080322266;-88.488235473632812
822000363;-65.250831604003906;-95.803497314453125
828000362;-70.578834533691406;-94.831291198730469
834000361;-70.136634826660156;-102.8397216796875
840000360;-69.1295166015625;-93.14263916015625
846000359;-71.29010009765625;-92.642051696777344
852000358;-70.763458251953125;-102.02014923095703
858000357;-71.296875;-108.64191436767578
864000356;-68.122154235839844;-101.90580749511719
870000355;-66.202224731445313;-97.655891418457031
876000354;-70.135879516601563;-112.55253601074219
882000353;-68.539100646972656;-104.44996643066406
888000352;-70.559257507324219;-105.83156585693359
894000351;-70.56280517578125;-100.24365234375
900000350;-70.959991455078125;-99.717376708984375
906000349;-70.134246826171875;-105.02242279052734
912000348;-71.867240905761719;-102.24478149414062
918000347;-69.384590148925781;-97.640205383300781
924000346;-59.121910095214844;-102.55398559570312
930000345;-55.103858947753906;-92.061470031738281
936000344;-23.89820671081543;-60.886676788330078
