Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8656518459320068;-52.448196411132812
6000499;-52.071163177490234;-85.234329223632813
12000498;-61.538856506347656;-102.40700531005859
18000497;-50.647418975830078;-102.54047393798828
24000496;-52.259124755859375;-94.453575134277344
30000495;-42.111701965332031;-103.13896942138672
36000494;-40.629592895507812;-95.288894653320313
42000493;-20.599115371704102;-81.396575927734375
48000492;-32.711585998535156;-93.176490783691406
54000491;-38.160045623779297;-92.491592407226563
60000490;-42.683567047119141;-86.818557739257813
66000489;-36.478725433349609;-90.23883056640625
72000488;-46.907955169677734;-100.43968200683594
78000487;-57.701576232910156;-102.92752075195312
84000486;-39.561084747314453;-83.7060546875
90000485;-39.528564453125;-69.592231750488281
96000484;-36.685165405273438;-72.682708740234375
102000483;-37.374038696289063;-66.05499267578125
108000482;-48.060344696044922;-90.684165954589844
114000481;-60.855007171630859;-99.654647827148438
120000480;-48.871078491210938;-96.934219360351563
126000479;-58.365852355957031;-90.459732055664062
132000478;-51.340099334716797;-109.14117431640625
138000477;-58.574493408203125;-100.42010498046875
144000476;-51.742427825927734;-95.434089660644531
150000475;-53.227119445800781;-100.96758270263672
156000474;-49.279090881347656;-105.50266265869141
162000473;-50.916297912597656;-100.93167114257812
168000472;-53.752456665039063;-82.365074157714844
174000471;-43.107177734375;-88.6231689453125
180000470;-36.931221008300781;-72.524429321289063
186000469;-36.781742095947266;-83.578498840332031
192000468;-32.352088928222656;-79.404098510742187
198000467;-52.485965728759766;-97.740562438964844
204000466;-54.840305328369141;-93.273345947265625
210000465;-47.372421264648438;-94.132759094238281
216000464;-68.111251831054687;-108.51929473876953
222000463;-47.214481353759766;-92.456169128417969
228000462;-56.365734100341797;-102.91909790039062
234000461;-54.615802764892578;-95.122673034667969
240000460;-60.630725860595703;-96.848236083984375
246000459;-54.505401611328125;-89.667015075683594
252000458;-63.612785339355469;-96.358688354492187
258000457;-53.537025451660156;-97.109130859375
264000456;-65.500091552734375;-90.718223571777344
270000455;-57.657188415527344;-99.454673767089844
276000454;-63.529834747314453;-100.87406158447266
282000453;-64.001106262207031;-101.17223358154297
288000452;-65.160675048828125;-98.797439575195313
294000451;-59.479263305664062;-97.411270141601562
300000450;-60.473526000976563;-87.462730407714844
306000449;-62.139362335205078;-100.77154541015625
312000448;-57.767704010009766;-93.226333618164063
318000447;-63.363979339599609;-104.44689178466797
324000446;-66.796966552734375;-101.64910888671875
330000445;-53.590164184570313;-98.083152770996094
336000444;-54.453483581542969;-103.048583984375
342000443;-63.632328033447266;-96.11993408203125
348000442;-58.846946716308594;-93.874397277832031
354000441;-58.720813751220703;-95.695785522460937
360000440;-57.744163513183594;-97.999198913574219
366000439;-55.535076141357422;-89.6368408203125
372000438;-54.1160888671875;-100.17375946044922
378000437;-62.986053466796875;-105.31675720214844
384000436;-54.950752258300781;-89.54547119140625
390000435;-46.099952697753906;-97.194503784179688
396000434;-59.821632385253906;-96.604118347167969
402000433;-54.479419708251953;-95.489448547363281
408000432;-57.369434356689453;-99.144660949707031
414000431;-39.246974945068359;-96.3341064453125
420000430;-33.317607879638672;-72.546821594238281
426000429;-50.676029205322266;-76.0322265625
432000428;-55.358818054199219;-89.275901794433594
438000427;-53.082679748535156;-89.441734313964844
444000426;-53.907825469970703;-95.701454162597656
450000425;-66.152969360351562;-101.82591247558594
456000424;-53.551387786865234;-104.39907836914062
462000423;-54.766559600830078;-89.997856140136719
468000422;-54.622165679931641;-93.156448364257813
474000421;-63.062900543212891;-108.65250396728516
480000420;-69.716758728027344;-102.30047607421875
486000419;-54.448543548583984;-93.883567810058594
492000418;-69.355690002441406;-97.584228515625
498000417;-64.495323181152344;-93.095588684082031
504000416;-59.986202239990234;-104.17891693115234
510000415;-66.776382446289062;-100.20888519287109
516000414;-49.496269226074219;-98.2174072265625
522000413;-46.73736572265625;-79.857551574707031
528000412;-59.011440277099609;-96.388481140136719
534000411;-64.767715454101563;-115.27156066894531
540000410;-71.051101684570313;-96.1708984375
546000409;-71.007255554199219;-100.80400085449219
552000408;-70.486801147460938;-99.799530029296875
558000407;-66.042366027832031;-106.00446319580078
564000406;-71.571830749511719;-97.836578369140625
570000405;-48.950942993164063;-100.55239868164062
576000404;-46.999519348144531;-89.664878845214844
582000403;-47.367027282714844;-93.243881225585938
588000402;-71.190467834472656;-104.39533996582031
594000401;-71.894439697265625;-102.66032409667969
600000400;-70.155654907226562;-99.062942504882813
606000399;-71.341117858886719;-98.489105224609375
612000398;-70.34613037109375;-100.24842834472656
618000397;-63.059867858886719;-106.70490264892578
624000396;-68.031074523925781;-106.67012786865234
630000395;-70.223808288574219;-96.923637390136719
636000394;-70.620063781738281;-100.06317138671875
642000393;-68.895347595214844;-99.197105407714844
648000392;-71.45562744140625;-99.847785949707031
654000391;-71.343559265136719;-98.008514404296875
660000390;-61.482547760009766;-97.274436950683594
666000389;-71.108695983886719;-101.98681640625
672000388;-71.710540771484375;-98.289138793945313
678000387;-70.418052673339844;-95.369171142578125
684000386;-65.45892333984375;-100.87328338623047
690000385;-61.239173889160156;-87.781234741210938
696000384;-68.884719848632813;-105.02149963378906
702000383;-70.245246887207031;-92.407325744628906
708000382;-69.904067993164062;-102.04425811767578
714000381;-70.020217895507812;-94.539741516113281
720000380;-67.869873046875;-98.809738159179687
726000379;-52.432533264160156;-96.940544128417969
732000378;-51.460433959960938;-79.866180419921875
738000377;-66.165130615234375;-124.70030975341797
744000376;-71.563552856445312;-102.41401672363281
750000375;-70.764617919921875;-106.05084228515625
756000374;-68.42095947265625;-103.49681091308594
762000373;-66.317756652832031;-101.22218322753906
768000372;-59.697883605957031;-85.806877136230469
774000371;-62.976127624511719;-94.619453430175781
780000370;-70.838973999023438;-99.087051391601562
786000369;-69.580062866210938;-95.160064697265625
792000368;-61.541793823242188;-95.666748046875
798000367;-57.923820495605469;-92.336578369140625
804000366;-60.841907501220703;-89.958061218261719
810000365;-60.631450653076172;-102.58884429931641
816000364;-62.307670593261719;-102.57665252685547
822000363;-67.446723937988281;-103.02348327636719
828000362;-70.332717895507813;-104.37435150146484
834000361;-69.834465026855469;-101.25001525878906
840000360;-71.938919067382812;-93.75341796875
846000359;-71.921607971191406;-116.91388702392578
852000358;-71.693000793457031;-105.04055786132812
858000357;-71.424667358398438;-109.98226165771484
864000356;-71.07354736328125;-101.89804840087891
870000355;-72.30950927734375;-96.905059814453125
876000354;-70.375755310058594;-94.808570861816406
882000353;-72.02032470703125;-98.160057067871094
888000352;-71.991233825683594;-102.370361328125
894000351;-70.639030456542969;-99.250579833984375
900000350;-70.516212463378906;-111.42226409912109
906000349;-70.581077575683594;-94.592918395996094
912000348;-69.455924987792969;-100.49706268310547
918000347;-71.73516845703125;-101.01522064208984
924000346;-58.076084136962891;-99.637931823730469
930000345;-53.665565490722656;-88.699134826660156
936000344;-26.495908737182617;-54.26171875
942000343;-25.005525588989258;-66.990303039550781
