Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8623777627944946;-52.430576324462891
6000499;-51.770889282226562;-89.39923095703125
12000498;-58.901863098144531;-91.624374389648437
18000497;-50.028938293457031;-88.384269714355469
24000496;-54.587646484375;-81.59765625
30000495;-40.732334136962891;-90.890266418457031
36000494;-33.097415924072266;-87.159919738769531
42000493;-28.924018859863281;-86.872184753417969
48000492;-21.342737197875977;-85.866302490234375
54000491;-40.303073883056641;-84.425910949707031
60000490;-36.518772125244141;-93.389976501464844
66000489;-42.330604553222656;-87.897506713867187
72000488;-46.188041687011719;-88.113838195800781
78000487;-40.809959411621094;-86.545120239257813
84000486;-40.888069152832031;-86.029228210449219
90000485;-41.896236419677734;-70.027595520019531
96000484;-35.159374237060547;-57.568660736083984
102000483;-34.353927612304687;-72.942413330078125
108000482;-44.794357299804688;-92.0064697265625
114000481;-53.076400756835938;-90.361869812011719
120000480;-57.414760589599609;-88.133979797363281
126000479;-51.763755798339844;-87.981147766113281
132000478;-60.295108795166016;-93.674583435058594
138000477;-59.017311096191406;-101.15792083740234
144000476;-59.14404296875;-97.225982666015625
150000475;-54.755290985107422;-98.888511657714844
156000474;-62.740554809570313;-91.218338012695313
162000473;-41.219821929931641;-80.555831909179687
168000472;-49.723377227783203;-98.888954162597656
174000471;-39.974411010742187;-89.831489562988281
180000470;-37.205188751220703;-73.9014892578125
186000469;-34.568477630615234;-65.609954833984375
192000468;-33.195442199707031;-64.215301513671875
198000467;-48.208942413330078;-88.224136352539062
204000466;-50.445877075195313;-87.898063659667969
210000465;-51.743675231933594;-90.753654479980469
216000464;-53.880874633789063;-91.626029968261719
222000463;-52.275226593017578;-110.76919555664062
228000462;-51.248439788818359;-98.248077392578125
234000461;-52.738697052001953;-98.441497802734375
240000460;-62.092693328857422;-94.265434265136719
246000459;-51.521816253662109;-95.787345886230469
252000458;-57.445629119873047;-104.33786773681641
258000457;-54.456989288330078;-91.737617492675781
264000456;-54.991287231445313;-95.903633117675781
270000455;-60.363990783691406;-101.94118499755859
276000454;-59.468593597412109;-96.867019653320312
282000453;-66.115562438964844;-96.132400512695312
288000452;-60.598751068115234;-104.310791015625
294000451;-65.915290832519531;-93.911399841308594
300000450;-56.067550659179688;-99.768783569335938
306000449;-54.247665405273438;-112.32627868652344
312000448;-64.370162963867187;-92.912879943847656
318000447;-61.215015411376953;-94.072441101074219
324000446;-51.559745788574219;-90.634323120117188
330000445;-64.764389038085938;-96.156135559082031
336000444;-55.646530151367187;-96.469764709472656
342000443;-58.124217987060547;-104.67350006103516
348000442;-54.873676300048828;-88.783073425292969
354000441;-65.669387817382812;-101.45528411865234
360000440;-55.666858673095703;-99.564743041992188
366000439;-55.677803039550781;-91.517181396484375
372000438;-53.638160705566406;-98.306541442871094
378000437;-59.536933898925781;-96.51092529296875
384000436;-52.962078094482422;-94.146659851074219
390000435;-51.876228332519531;-87.284111022949219
396000434;-56.563804626464844;-108.24291229248047
402000433;-66.019737243652344;-93.895416259765625
408000432;-53.481224060058594;-111.66196441650391
414000431;-40.107357025146484;-90.371437072753906
420000430;-36.608894348144531;-79.306694030761719
426000429;-47.465358734130859;-76.880859375
432000428;-51.713062286376953;-88.545234680175781
438000427;-60.852714538574219;-92.873550415039063
444000426;-60.829536437988281;-99.165596008300781
450000425;-57.084587097167969;-108.84241485595703
456000424;-52.168930053710938;-99.854835510253906
462000423;-51.771976470947266;-95.211647033691406
468000422;-58.880168914794922;-102.2388916015625
474000421;-59.173374176025391;-107.64268493652344
480000420;-52.891670227050781;-106.537353515625
486000419;-62.129249572753906;-96.717849731445312
492000418;-65.384292602539063;-97.475227355957031
498000417;-59.808277130126953;-97.760986328125
504000416;-66.263145446777344;-95.499221801757813
510000415;-66.053977966308594;-110.71821594238281
516000414;-46.754360198974609;-83.72967529296875
522000413;-43.588169097900391;-94.168647766113281
528000412;-49.606281280517578;-109.53379821777344
534000411;-66.860855102539063;-100.29116821289062
540000410;-69.485832214355469;-97.605865478515625
546000409;-68.000518798828125;-96.847785949707031
552000408;-68.687118530273438;-105.89897155761719
558000407;-69.367263793945313;-101.92206573486328
564000406;-71.043441772460938;-96.921157836914063
570000405;-51.784297943115234;-98.1739501953125
576000404;-44.629203796386719;-79.072967529296875
582000403;-45.324501037597656;-96.402580261230469
588000402;-71.5020751953125;-100.09616088867187
594000401;-71.426071166992188;-98.577346801757813
600000400;-67.364837646484375;-96.042900085449219
606000399;-69.605934143066406;-102.43838500976562
612000398;-70.039802551269531;-97.666336059570313
618000397;-70.417182922363281;-103.73785400390625
624000396;-70.803207397460938;-101.02644348144531
630000395;-68.598777770996094;-105.85738372802734
636000394;-69.391410827636719;-96.474105834960938
642000393;-63.150966644287109;-104.22658538818359
648000392;-69.496849060058594;-100.78781127929687
654000391;-67.81884765625;-106.83647918701172
660000390;-70.997329711914063;-106.07270050048828
666000389;-68.952308654785156;-105.04232788085937
672000388;-67.554862976074219;-102.73526763916016
678000387;-70.842193603515625;-100.04523468017578
684000386;-66.624420166015625;-101.46121215820312
690000385;-63.955219268798828;-106.73387908935547
696000384;-67.982696533203125;-102.52719116210937
702000383;-70.092041015625;-112.75292205810547
708000382;-70.535491943359375;-112.19377899169922
714000381;-71.506782531738281;-91.312019348144531
720000380;-70.233299255371094;-112.93270111083984
726000379;-50.002555847167969;-94.724411010742188
732000378;-47.290470123291016;-81.36376953125
738000377;-64.311859130859375;-95.901191711425781
744000376;-71.544441223144531;-125.67214965820312
750000375;-71.62042236328125;-100.53417205810547
756000374;-70.253395080566406;-105.07943725585937
762000373;-65.653450012207031;-100.20336151123047
768000372;-58.548912048339844;-94.637916564941406
774000371;-62.539012908935547;-86.808631896972656
780000370;-69.129745483398438;-99.134445190429688
786000369;-55.687126159667969;-99.710212707519531
792000368;-49.605976104736328;-86.750373840332031
798000367;-59.119991302490234;-90.013748168945313
804000366;-56.120780944824219;-96.681716918945313
810000365;-64.419197082519531;-103.84349822998047
816000364;-61.970870971679688;-95.059967041015625
822000363;-66.58544921875;-96.892623901367188
828000362;-71.748291015625;-108.53094482421875
834000361;-70.215476989746094;-95.544486999511719
840000360;-70.15277099609375;-101.00770568847656
846000359;-71.492034912109375;-95.663581848144531
852000358;-69.105728149414062;-106.03007507324219
858000357;-71.451362609863281;-100.40375518798828
864000356;-71.989089965820313;-99.795600891113281
870000355;-71.322662353515625;-111.42694854736328
876000354;-71.564544677734375;-98.185089111328125
882000353;-72.481193542480469;-98.920387268066406
888000352;-70.931350708007812;-96.099945068359375
894000351;-71.443008422851562;-102.75405883789062
900000350;-68.685005187988281;-102.739501953125
906000349;-70.613014221191406;-105.8037109375
912000348;-70.640289306640625;-100.97339630126953
918000347;-70.838127136230469;-105.63078308105469
924000346;-61.427806854248047;-94.852325439453125
930000345;-56.413715362548828;-88.316024780273438
936000344;-22.664613723754883;-59.253562927246094
942000343;-23.127769470214844;-65.233070373535156
