Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8577127456665039;-53.116657257080078
6000499;-51.65380859375;-92.452590942382813
12000498;-61.13641357421875;-96.4942626953125
18000497;-58.706127166748047;-97.659004211425781
24000496;-56.108161926269531;-94.740104675292969
30000495;-46.225044250488281;-88.423660278320312
36000494;-44.315277099609375;-90.7767333984375
42000493;-41.601493835449219;-97.146583557128906
48000492;-31.141016006469727;-89.965385437011719
54000491;-39.049373626708984;-92.697860717773438
60000490;-51.221992492675781;-90.127357482910156
66000489;-35.902755737304688;-89.3306884765625
72000488;-48.362071990966797;-91.804740905761719
78000487;-47.496242523193359;-106.67198181152344
84000486;-36.257789611816406;-90.076408386230469
90000485;-42.954578399658203;-70.155075073242187
96000484;-36.973960876464844;-69.712509155273438
102000483;-37.9215087890625;-74.077590942382813
108000482;-46.849422454833984;-83.012725830078125
114000481;-68.392623901367188;-95.843772888183594
120000480;-53.311134338378906;-89.471023559570313
126000479;-58.600406646728516;-109.71281433105469
132000478;-60.128196716308594;-108.75705718994141
138000477;-62.0211181640625;-102.89322662353516
144000476;-55.873584747314453;-112.20464324951172
150000475;-57.804412841796875;-96.7191162109375
156000474;-45.593173980712891;-98.405975341796875
162000473;-48.608730316162109;-92.610427856445313
168000472;-53.111030578613281;-81.505393981933594
174000471;-42.954376220703125;-96.663673400878906
180000470;-39.58453369140625;-77.053611755371094
186000469;-36.929328918457031;-66.90447998046875
192000468;-36.51312255859375;-78.907020568847656
198000467;-50.860286712646484;-98.175788879394531
204000466;-45.213649749755859;-94.421600341796875
210000465;-55.122753143310547;-97.13934326171875
216000464;-64.696853637695313;-101.05236053466797
222000463;-51.929389953613281;-89.55767822265625
228000462;-63.956451416015625;-98.724517822265625
234000461;-55.214344024658203;-95.566932678222656
240000460;-67.160011291503906;-96.070388793945313
246000459;-52.779209136962891;-94.619735717773438
252000458;-61.543643951416016;-95.033233642578125
258000457;-57.264728546142578;-100.82123565673828
264000456;-65.014076232910156;-105.38314819335937
270000455;-60.646392822265625;-95.808998107910156
276000454;-66.4774169921875;-101.17950439453125
282000453;-55.319503784179687;-108.48318481445312
288000452;-56.100025177001953;-99.946281433105469
294000451;-65.370010375976562;-96.001968383789063
300000450;-57.404411315917969;-90.40643310546875
306000449;-56.590778350830078;-94.835945129394531
312000448;-53.804752349853516;-96.069694519042969
318000447;-55.087406158447266;-99.446250915527344
324000446;-57.953048706054688;-106.41527557373047
330000445;-65.734672546386719;-102.77661895751953
336000444;-57.019313812255859;-97.837196350097656
342000443;-62.405323028564453;-97.916908264160156
348000442;-55.027095794677734;-103.11674499511719
354000441;-57.568851470947266;-90.730781555175781
360000440;-53.87542724609375;-94.802925109863281
366000439;-47.201007843017578;-90.443130493164063
372000438;-58.118431091308594;-106.38518524169922
378000437;-62.783992767333984;-94.04150390625
384000436;-51.144779205322266;-91.570419311523438
390000435;-45.763465881347656;-91.264877319335938
396000434;-58.893730163574219;-101.00152587890625
402000433;-58.146404266357422;-94.6422119140625
408000432;-56.002372741699219;-101.09745025634766
414000431;-43.899242401123047;-97.443641662597656
420000430;-35.709774017333984;-76.408424377441406
426000429;-49.4298095703125;-88.652481079101563
432000428;-55.729377746582031;-91.747108459472656
438000427;-53.456287384033203;-90.888908386230469
444000426;-59.142429351806641;-100.74552154541016
450000425;-58.854766845703125;-104.36800384521484
456000424;-54.063095092773438;-88.837921142578125
462000423;-54.368942260742188;-89.002914428710937
468000422;-63.25311279296875;-100.47760009765625
474000421;-67.39361572265625;-98.314735412597656
480000420;-58.849010467529297;-99.386085510253906
486000419;-69.1861572265625;-109.40666198730469
492000418;-57.638500213623047;-104.07926177978516
498000417;-63.675819396972656;-102.43077087402344
504000416;-66.866317749023437;-97.233108520507812
510000415;-62.122486114501953;-103.17283630371094
516000414;-43.818370819091797;-86.895050048828125
522000413;-40.995208740234375;-67.952606201171875
528000412;-54.00018310546875;-108.21353149414062
534000411;-69.5794677734375;-110.88135528564453
540000410;-67.650154113769531;-102.44506072998047
546000409;-67.4464111328125;-101.73302459716797
552000408;-72.034103393554688;-97.172248840332031
558000407;-70.817733764648438;-95.288848876953125
564000406;-64.082054138183594;-99.870536804199219
570000405;-50.818382263183594;-100.38284301757812
576000404;-42.992137908935547;-78.1278076171875
582000403;-44.030685424804688;-84.999626159667969
588000402;-70.196121215820313;-103.01128387451172
594000401;-69.998893737792969;-103.64250183105469
600000400;-72.681419372558594;-104.52973937988281
606000399;-69.643211364746094;-101.58071136474609
612000398;-71.552505493164062;-97.720359802246094
618000397;-71.64544677734375;-100.83817291259766
624000396;-71.038909912109375;-115.35254669189453
630000395;-67.7601318359375;-96.691497802734375
636000394;-68.234176635742187;-101.78969573974609
642000393;-70.852333068847656;-104.10223388671875
648000392;-68.424774169921875;-104.18234252929687
654000391;-69.305625915527344;-94.003913879394531
660000390;-71.458663940429687;-101.18220520019531
666000389;-64.876602172851562;-97.203842163085938
672000388;-68.414054870605469;-98.275428771972656
678000387;-70.58038330078125;-103.62602233886719
684000386;-67.284751892089844;-96.495559692382812
690000385;-66.045707702636719;-91.829048156738281
696000384;-69.316070556640625;-115.50486755371094
702000383;-70.767097473144531;-101.39671325683594
708000382;-71.192710876464844;-104.38832092285156
714000381;-71.610458374023437;-96.137611389160156
720000380;-68.395713806152344;-114.0841064453125
726000379;-46.826290130615234;-90.907066345214844
732000378;-47.217910766601563;-69.496925354003906
738000377;-64.016716003417969;-98.699729919433594
744000376;-70.503486633300781;-96.731269836425781
750000375;-70.694755554199219;-97.030006408691406
756000374;-71.962898254394531;-111.42099761962891
762000373;-68.361518859863281;-100.93025207519531
768000372;-63.087299346923828;-101.39183044433594
774000371;-67.0718994140625;-98.861373901367188
780000370;-72.061798095703125;-112.73316955566406
786000369;-54.870903015136719;-97.856590270996094
792000368;-52.026870727539062;-96.823760986328125
798000367;-60.418849945068359;-89.323417663574219
804000366;-62.608856201171875;-89.998908996582031
810000365;-65.307701110839844;-94.000251770019531
816000364;-64.949134826660156;-110.20075988769531
822000363;-69.046249389648437;-102.74714660644531
828000362;-73.256599426269531;-99.976516723632813
834000361;-69.957466125488281;-97.501686096191406
840000360;-70.257469177246094;-96.477645874023438
846000359;-70.23992919921875;-96.018157958984375
852000358;-70.408149719238281;-100.47682952880859
858000357;-68.662132263183594;-101.51976013183594
864000356;-72.543991088867188;-102.65029907226562
870000355;-70.876960754394531;-106.33306121826172
876000354;-70.839462280273438;-109.14978790283203
882000353;-69.738105773925781;-97.671234130859375
888000352;-71.230354309082031;-103.24864196777344
894000351;-69.501289367675781;-101.88131713867187
900000350;-72.281623840332031;-94.808609008789063
906000349;-70.535980224609375;-100.15460968017578
912000348;-71.723884582519531;-102.07872009277344
918000347;-71.409255981445312;-96.608795166015625
924000346;-59.475505828857422;-94.606781005859375
930000345;-57.253086090087891;-97.851219177246094
936000344;-26.152475357055664;-63.118392944335938
