Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8645327091217041;-52.852531433105469
6000499;-53.648769378662109;-88.471244812011719
12000498;-58.161552429199219;-91.672210693359375
18000497;-54.344505310058594;-91.334945678710938
24000496;-46.735366821289063;-90.351219177246094
30000495;-58.641742706298828;-96.962852478027344
36000494;-35.494083404541016;-91.71514892578125
42000493;-34.395523071289063;-83.181449890136719
48000492;-40.241954803466797;-98.628890991210938
54000491;-36.898639678955078;-91.185478210449219
60000490;-40.861190795898437;-92.03070068359375
66000489;-41.861526489257813;-89.526145935058594
72000488;-47.773029327392578;-106.17804718017578
78000487;-42.446636199951172;-98.445365905761719
84000486;-39.554988861083984;-81.233047485351563
90000485;-41.700687408447266;-78.648551940917969
96000484;-36.477535247802734;-64.409011840820313
102000483;-37.456394195556641;-65.181716918945313
108000482;-47.333580017089844;-97.780349731445313
114000481;-55.419918060302734;-100.92722320556641
120000480;-63.588020324707031;-92.276397705078125
126000479;-50.496967315673828;-94.133575439453125
132000478;-53.248455047607422;-101.85633850097656
138000477;-56.276805877685547;-98.895912170410156
144000476;-55.155044555664063;-107.72084808349609
150000475;-54.827648162841797;-101.51143646240234
156000474;-52.573757171630859;-96.100776672363281
162000473;-49.715576171875;-90.767692565917969
168000472;-48.70849609375;-88.488197326660156
174000471;-43.219982147216797;-86.834739685058594
180000470;-41.836116790771484;-80.783775329589844
186000469;-34.739521026611328;-68.109634399414063
192000468;-34.900978088378906;-73.981132507324219
198000467;-52.014278411865234;-99.407989501953125
204000466;-62.686248779296875;-103.36614227294922
210000465;-53.854545593261719;-99.355117797851563
216000464;-59.174583435058594;-103.87101745605469
222000463;-53.167812347412109;-91.983596801757813
228000462;-55.870296478271484;-90.850555419921875
234000461;-57.910312652587891;-95.683128356933594
240000460;-63.079822540283203;-92.812995910644531
246000459;-52.259571075439453;-91.526252746582031
252000458;-62.685585021972656;-97.304374694824219
258000457;-56.421192169189453;-101.69149017333984
264000456;-57.471351623535156;-93.809211730957031
270000455;-58.444549560546875;-96.597640991210938
276000454;-58.825817108154297;-108.41630554199219
282000453;-56.932224273681641;-109.78453063964844
288000452;-53.695384979248047;-95.282279968261719
294000451;-56.215129852294922;-100.26394653320312
300000450;-61.677619934082031;-98.149482727050781
306000449;-55.066665649414063;-103.09806060791016
312000448;-59.913692474365234;-94.945335388183594
318000447;-54.498897552490234;-98.9403076171875
324000446;-60.551254272460938;-91.503402709960938
330000445;-61.789344787597656;-92.138710021972656
336000444;-58.261936187744141;-96.626274108886719
342000443;-51.214946746826172;-100.80647277832031
348000442;-58.538230895996094;-123.63913726806641
354000441;-57.278350830078125;-101.65542602539062
360000440;-49.675502777099609;-90.559394836425781
366000439;-56.856460571289063;-91.594673156738281
372000438;-58.651836395263672;-92.370773315429688
378000437;-57.68408203125;-92.233200073242188
384000436;-49.134681701660156;-90.665626525878906
390000435;-48.719448089599609;-86.772720336914063
396000434;-69.493606567382812;-101.98102569580078
402000433;-54.877944946289063;-92.236160278320312
408000432;-52.767509460449219;-97.69293212890625
414000431;-41.208740234375;-96.95306396484375
420000430;-38.269756317138672;-74.793708801269531
426000429;-50.423614501953125;-76.886543273925781
432000428;-54.981876373291016;-102.76454162597656
438000427;-61.142890930175781;-99.210258483886719
444000426;-58.743862152099609;-100.49785614013672
450000425;-57.880577087402344;-95.688995361328125
456000424;-57.984733581542969;-94.041587829589844
462000423;-59.411731719970703;-90.117469787597656
468000422;-60.606086730957031;-99.8802490234375
474000421;-58.616031646728516;-98.215087890625
480000420;-62.824909210205078;-105.05826568603516
486000419;-59.217617034912109;-106.16831970214844
492000418;-59.358589172363281;-95.361465454101563
498000417;-63.330303192138672;-96.667709350585938
504000416;-65.870529174804688;-92.673301696777344
510000415;-68.731796264648437;-93.3043212890625
516000414;-45.643524169921875;-100.48699188232422
522000413;-40.135604858398438;-69.330970764160156
528000412;-50.643383026123047;-95.091011047363281
534000411;-70.038055419921875;-105.71619415283203
540000410;-68.793739318847656;-97.318435668945313
546000409;-67.297218322753906;-96.620315551757813
552000408;-71.003440856933594;-95.006019592285156
558000407;-71.7427978515625;-108.03501892089844
564000406;-69.903594970703125;-104.00717926025391
570000405;-48.838825225830078;-97.173225402832031
576000404;-43.036380767822266;-70.58648681640625
582000403;-49.141395568847656;-93.194778442382812
588000402;-71.248504638671875;-115.89265441894531
594000401;-73.030326843261719;-101.42738342285156
600000400;-72.157218933105469;-114.86394500732422
606000399;-69.447158813476562;-98.261024475097656
612000398;-71.415321350097656;-99.533027648925781
618000397;-71.156906127929687;-101.02120208740234
624000396;-71.6654052734375;-100.13359832763672
630000395;-65.244171142578125;-98.152313232421875
636000394;-68.40106201171875;-103.30117034912109
642000393;-68.583786010742187;-109.99494171142578
648000392;-65.6947021484375;-96.631538391113281
654000391;-70.136848449707031;-102.15176391601562
660000390;-69.131706237792969;-101.02651977539062
666000389;-63.439022064208984;-97.439598083496094
672000388;-70.596061706542969;-100.63108062744141
678000387;-70.129859924316406;-101.16917419433594
684000386;-65.896476745605469;-99.196632385253906
690000385;-64.787918090820313;-101.54512023925781
696000384;-67.546875;-98.42584228515625
702000383;-70.393623352050781;-97.413902282714844
708000382;-68.110786437988281;-94.260147094726563
714000381;-70.070762634277344;-96.393478393554688
720000380;-67.123306274414063;-99.003677368164063
726000379;-52.594417572021484;-79.2120361328125
732000378;-48.675956726074219;-88.537986755371094
738000377;-69.2938232421875;-102.74383544921875
744000376;-71.558013916015625;-104.54750061035156
750000375;-69.414688110351563;-104.71381378173828
756000374;-70.697853088378906;-96.309555053710938
762000373;-67.486885070800781;-95.80438232421875
768000372;-61.20294189453125;-88.379386901855469
774000371;-63.931919097900391;-97.491142272949219
780000370;-71.842727661132813;-99.93353271484375
786000369;-63.825355529785156;-96.553512573242188
792000368;-49.9932861328125;-81.468719482421875
798000367;-58.488689422607422;-89.453681945800781
804000366;-63.102626800537109;-92.061576843261719
810000365;-66.977531433105469;-94.193031311035156
816000364;-65.52154541015625;-91.707015991210938
822000363;-67.297378540039062;-94.732368469238281
828000362;-70.807266235351563;-105.05464935302734
834000361;-70.079521179199219;-106.72795867919922
840000360;-71.224815368652344;-104.42518615722656
846000359;-68.988571166992188;-103.96305084228516
852000358;-69.20257568359375;-97.738815307617188
858000357;-70.786705017089844;-123.17063140869141
864000356;-72.112274169921875;-98.009567260742188
870000355;-69.981658935546875;-103.86328887939453
876000354;-71.458000183105469;-103.21398162841797
882000353;-70.875717163085938;-100.84767150878906
888000352;-70.945159912109375;-113.05525207519531
894000351;-71.286239624023438;-94.0784912109375
900000350;-69.595573425292969;-102.45700836181641
906000349;-70.069068908691406;-101.46952819824219
912000348;-71.631301879882813;-99.09539794921875
918000347;-71.165992736816406;-110.78235626220703
924000346;-61.566257476806641;-99.453460693359375
930000345;-57.816822052001953;-90.803009033203125
936000344;-25.699880599975586;-62.244884490966797
