Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.860015869140625;-52.005222320556641
6000499;-52.675258636474609;-91.771263122558594
12000498;-62.704200744628906;-103.97257995605469
18000497;-39.832958221435547;-95.488761901855469
24000496;-50.596885681152344;-100.11396789550781
30000495;-51.908859252929688;-100.3419189453125
36000494;-42.529747009277344;-93.295082092285156
42000493;-44.095249176025391;-100.07282257080078
48000492;-29.253763198852539;-90.503959655761719
54000491;-41.873458862304687;-105.99099731445312
60000490;-33.232311248779297;-93.685981750488281
66000489;-39.863742828369141;-94.102027893066406
72000488;-50.586578369140625;-98.504150390625
78000487;-48.354866027832031;-95.569877624511719
84000486;-42.702671051025391;-79.408683776855469
90000485;-40.585979461669922;-74.727294921875
96000484;-36.910037994384766;-62.380809783935547
102000483;-38.481849670410156;-71.275741577148438
108000482;-46.3878173828125;-101.71994781494141
114000481;-57.433368682861328;-94.4256591796875
120000480;-62.177360534667969;-96.351486206054688
126000479;-56.483863830566406;-100.46754455566406
132000478;-56.802379608154297;-102.14535522460937
138000477;-61.779438018798828;-102.4332275390625
144000476;-62.441764831542969;-104.34552764892578
150000475;-55.051990509033203;-106.14794158935547
156000474;-51.011775970458984;-91.630599975585938
162000473;-42.741664886474609;-82.668693542480469
168000472;-53.876632690429688;-99.746742248535156
174000471;-42.545040130615234;-94.342132568359375
180000470;-40.233524322509766;-71.806045532226563
186000469;-40.963485717773438;-74.992820739746094
192000468;-36.168506622314453;-69.716079711914062
198000467;-48.3133544921875;-101.49661254882812
204000466;-52.514606475830078;-107.13636016845703
210000465;-52.99078369140625;-92.086418151855469
216000464;-52.659854888916016;-95.180244445800781
222000463;-53.606189727783203;-93.347183227539062
228000462;-62.016830444335938;-99.479774475097656
234000461;-50.971057891845703;-90.65045166015625
240000460;-59.110359191894531;-97.897392272949219
246000459;-49.647056579589844;-98.008430480957031
252000458;-60.790767669677734;-89.112571716308594
258000457;-61.74017333984375;-99.765983581542969
264000456;-52.429855346679688;-97.028343200683594
270000455;-69.400588989257813;-102.02736663818359
276000454;-58.941932678222656;-118.49176788330078
282000453;-63.892543792724609;-100.69472503662109
288000452;-67.426849365234375;-102.87014770507812
294000451;-59.602428436279297;-105.88447570800781
300000450;-61.273983001708984;-100.15168762207031
306000449;-66.234901428222656;-98.453727722167969
312000448;-61.064769744873047;-104.1531982421875
318000447;-57.595409393310547;-93.79949951171875
324000446;-69.154228210449219;-108.33961486816406
330000445;-60.842506408691406;-103.19173431396484
336000444;-69.115325927734375;-104.69290924072266
342000443;-58.169116973876953;-107.13240051269531
348000442;-63.377765655517578;-101.04941558837891
354000441;-58.943683624267578;-113.76573944091797
360000440;-55.920211791992188;-89.039512634277344
366000439;-55.5501708984375;-88.6883544921875
372000438;-64.607818603515625;-92.418418884277344
378000437;-54.166259765625;-96.383369445800781
384000436;-54.526622772216797;-114.99689483642578
390000435;-44.864875793457031;-87.621963500976563
396000434;-67.447532653808594;-106.95405578613281
402000433;-51.208499908447266;-97.572807312011719
408000432;-58.038028717041016;-113.93045806884766
414000431;-38.137096405029297;-107.48728942871094
420000430;-34.519546508789063;-79.49102783203125
426000429;-50.117301940917969;-73.748245239257813
432000428;-55.506362915039063;-96.98968505859375
438000427;-52.081787109375;-103.11981201171875
444000426;-55.941314697265625;-102.36543273925781
450000425;-59.207656860351562;-107.96863555908203
456000424;-58.577888488769531;-87.376686096191406
462000423;-57.394340515136719;-87.902694702148438
468000422;-64.035423278808594;-92.797744750976563
474000421;-55.363632202148438;-102.23387145996094
480000420;-52.319953918457031;-102.68737030029297
486000419;-61.696090698242188;-106.73529052734375
492000418;-54.314102172851563;-105.94102478027344
498000417;-59.484359741210938;-99.89312744140625
504000416;-70.063102722167969;-104.21160888671875
510000415;-62.908618927001953;-105.77055358886719
516000414;-47.066562652587891;-86.793251037597656
522000413;-45.566082000732422;-80.330856323242187
528000412;-65.090545654296875;-105.92206573486328
534000411;-68.292320251464844;-97.686538696289063
540000410;-71.443115234375;-100.12329864501953
546000409;-71.326789855957031;-100.02164459228516
552000408;-72.078887939453125;-96.5997314453125
558000407;-63.071697235107422;-109.93321990966797
564000406;-69.826889038085938;-99.791755676269531
570000405;-51.340797424316406;-98.897720336914063
576000404;-45.080841064453125;-81.110816955566406
582000403;-46.234565734863281;-98.674140930175781
588000402;-64.551849365234375;-99.229591369628906
594000401;-68.581253051757813;-100.71848297119141
600000400;-71.212928771972656;-97.389991760253906
606000399;-72.6817626953125;-101.86698913574219
612000398;-71.309333801269531;-97.416091918945313
618000397;-71.013198852539062;-115.44989776611328
624000396;-68.453681945800781;-99.154960632324219
630000395;-70.083953857421875;-102.85530090332031
636000394;-67.29974365234375;-98.563751220703125
642000393;-70.002143859863281;-100.74297332763672
648000392;-70.651329040527344;-111.21247863769531
654000391;-65.511672973632813;-114.8839111328125
660000390;-70.164093017578125;-98.171966552734375
666000389;-69.730010986328125;-94.60748291015625
672000388;-66.178306579589844;-103.27358245849609
678000387;-61.039310455322266;-111.43651580810547
684000386;-65.923301696777344;-95.861434936523438
690000385;-63.522678375244141;-103.08977508544922
696000384;-68.153068542480469;-98.923957824707031
702000383;-70.181381225585937;-98.077529907226563
708000382;-70.483840942382813;-108.84558868408203
714000381;-70.653877258300781;-97.011299133300781
720000380;-68.899749755859375;-100.94708251953125
726000379;-55.0216064453125;-89.813247680664062
732000378;-52.857997894287109;-104.86769866943359
738000377;-66.689727783203125;-92.989601135253906
744000376;-70.926887512207031;-101.65786743164062
750000375;-71.253768920898438;-100.65858459472656
756000374;-70.937019348144531;-100.32377624511719
762000373;-65.585624694824219;-106.5130615234375
768000372;-58.914131164550781;-96.59661865234375
774000371;-61.772506713867188;-109.6966552734375
780000370;-69.03497314453125;-97.730400085449219
786000369;-69.46966552734375;-102.00364685058594
792000368;-62.822761535644531;-89.942253112792969
798000367;-62.490497589111328;-92.2216796875
804000366;-58.905956268310547;-91.646003723144531
810000365;-62.231239318847656;-90.804367065429688
816000364;-65.45318603515625;-98.4072265625
822000363;-65.671272277832031;-102.67723846435547
828000362;-71.826461791992187;-103.88697052001953
834000361;-70.693717956542969;-97.933174133300781
840000360;-71.2940673828125;-93.916465759277344
846000359;-71.239830017089844;-103.75704956054687
852000358;-70.946334838867187;-99.707267761230469
858000357;-69.312782287597656;-104.18637084960937
864000356;-73.128028869628906;-128.40463256835937
870000355;-70.718292236328125;-99.188491821289063
876000354;-68.774772644042969;-100.32607269287109
882000353;-72.5946044921875;-106.33927917480469
888000352;-69.591255187988281;-104.11605834960937
894000351;-70.580490112304687;-105.870849609375
900000350;-69.525932312011719;-96.266403198242188
906000349;-69.619178771972656;-96.283355712890625
912000348;-70.726020812988281;-109.20895385742187
918000347;-72.109771728515625;-94.306846618652344
924000346;-61.551380157470703;-97.744232177734375
930000345;-56.256290435791016;-100.29951477050781
936000344;-26.808120727539062;-58.609775543212891
