Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8593049049377441;-53.065876007080078
6000499;-53.593982696533203;-85.891990661621094
12000498;-56.496990203857422;-99.152099609375
18000497;-45.112232208251953;-89.497398376464844
24000496;-48.219810485839844;-91.37359619140625
30000495;-42.253986358642578;-85.758575439453125
36000494;-23.409273147583008;-84.6949462890625
42000493;-37.132953643798828;-89.040885925292969
48000492;-41.87261962890625;-95.806083679199219
54000491;-39.396694183349609;-92.299285888671875
60000490;-45.498397827148438;-91.164955139160156
66000489;-40.168502807617188;-100.43559265136719
72000488;-47.721492767333984;-99.859115600585938
78000487;-42.977100372314453;-98.453323364257813
84000486;-40.730751037597656;-83.343711853027344
90000485;-41.767982482910156;-74.38848876953125
96000484;-36.245326995849609;-60.727317810058594
102000483;-36.165412902832031;-60.749900817871094
108000482;-43.141429901123047;-91.111312866210937
114000481;-58.66363525390625;-106.51041412353516
120000480;-47.621265411376953;-102.94367218017578
126000479;-53.2347412109375;-96.659393310546875
132000478;-62.336505889892578;-93.978446960449219
138000477;-57.375759124755859;-96.955459594726563
144000476;-62.870231628417969;-94.031074523925781
150000475;-54.8848876953125;-91.882888793945313
156000474;-65.511520385742187;-92.705818176269531
162000473;-49.259403228759766;-90.437950134277344
168000472;-39.899303436279297;-94.42242431640625
174000471;-49.394130706787109;-83.723899841308594
180000470;-34.949661254882813;-71.638870239257813
186000469;-33.767581939697266;-66.814338684082031
192000468;-28.973615646362305;-59.991611480712891
198000467;-47.666511535644531;-98.670242309570313
204000466;-54.954730987548828;-92.049339294433594
210000465;-49.3663330078125;-124.59476470947266
216000464;-52.682415008544922;-101.59136962890625
222000463;-61.819797515869141;-95.049858093261719
228000462;-53.174812316894531;-97.653434753417969
234000461;-56.353099822998047;-98.068313598632813
240000460;-51.4454345703125;-94.675674438476562
246000459;-63.070480346679688;-100.60708618164062
252000458;-54.639698028564453;-95.786331176757813
258000457;-55.440128326416016;-98.096023559570313
264000456;-62.166259765625;-96.9913330078125
270000455;-59.139728546142578;-100.70258331298828
276000454;-55.347404479980469;-94.332405090332031
282000453;-55.851852416992187;-99.208587646484375
288000452;-65.301841735839844;-97.483413696289063
294000451;-57.141407012939453;-93.146537780761719
300000450;-56.075790405273437;-93.376846313476562
306000449;-62.870967864990234;-94.308830261230469
312000448;-53.947525024414063;-95.180809020996094
318000447;-55.209484100341797;-102.44168090820312
324000446;-62.653663635253906;-93.362579345703125
330000445;-56.002517700195313;-94.793632507324219
336000444;-60.339248657226563;-96.685127258300781
342000443;-50.903697967529297;-92.246940612792969
348000442;-59.07086181640625;-105.10169982910156
354000441;-56.605670928955078;-93.258384704589844
360000440;-50.616310119628906;-92.558013916015625
366000439;-56.762214660644531;-86.761848449707031
372000438;-55.482940673828125;-89.101829528808594
378000437;-47.799415588378906;-100.55419158935547
384000436;-51.188289642333984;-90.599082946777344
390000435;-47.259639739990234;-89.033096313476563
396000434;-53.357181549072266;-97.505043029785156
402000433;-54.536190032958984;-108.18704986572266
408000432;-66.482505798339844;-98.432205200195313
414000431;-38.856712341308594;-97.38580322265625
420000430;-35.623237609863281;-68.922882080078125
426000429;-48.454261779785156;-91.148490905761719
432000428;-54.537380218505859;-91.713096618652344
438000427;-55.926662445068359;-94.251876831054688
444000426;-60.671543121337891;-95.895851135253906
450000425;-58.565586090087891;-103.190673828125
456000424;-53.8743896484375;-89.651824951171875
462000423;-54.171058654785156;-93.755081176757813
468000422;-58.140937805175781;-88.523521423339844
474000421;-62.522991180419922;-96.506675720214844
480000420;-70.465644836425781;-97.388313293457031
486000419;-57.630023956298828;-106.27878570556641
492000418;-64.946952819824219;-102.8643798828125
498000417;-66.50750732421875;-101.27371215820312
504000416;-65.209159851074219;-99.166419982910156
510000415;-66.592376708984375;-97.227561950683594
516000414;-44.662151336669922;-82.1458740234375
522000413;-41.493862152099609;-74.828384399414063
528000412;-46.601211547851562;-91.330070495605469
534000411;-66.485122680664062;-94.129714965820313
540000410;-69.781669616699219;-103.59603118896484
546000409;-70.292694091796875;-99.789924621582031
552000408;-67.892631530761719;-101.23630523681641
558000407;-69.389434814453125;-97.222671508789063
564000406;-69.429298400878906;-106.74275970458984
570000405;-49.314701080322266;-94.278678894042969
576000404;-45.229682922363281;-71.772834777832031
582000403;-48.617641448974609;-88.129035949707031
588000402;-70.997962951660156;-101.08161163330078
594000401;-71.040359497070312;-111.64729309082031
600000400;-69.303245544433594;-96.412017822265625
606000399;-71.813896179199219;-102.55461120605469
612000398;-71.63702392578125;-109.54241943359375
618000397;-64.707298278808594;-105.71743011474609
624000396;-71.516807556152344;-96.789642333984375
630000395;-67.267082214355469;-101.92851257324219
636000394;-69.104728698730469;-100.75475311279297
642000393;-60.426040649414063;-92.09869384765625
648000392;-57.939483642578125;-102.32247924804687
654000391;-69.014305114746094;-106.61878204345703
660000390;-70.665596008300781;-99.061264038085938
666000389;-69.124351501464844;-105.73857116699219
672000388;-70.815681457519531;-103.80077362060547
678000387;-69.357490539550781;-95.984260559082031
684000386;-66.754501342773438;-103.06144714355469
690000385;-61.817214965820313;-99.189018249511719
696000384;-70.820228576660156;-119.88243103027344
702000383;-69.402336120605469;-107.49598693847656
708000382;-71.06866455078125;-107.71347808837891
714000381;-69.216514587402344;-100.58171081542969
720000380;-68.01934814453125;-96.9140625
726000379;-48.859676361083984;-87.057518005371094
732000378;-46.054176330566406;-78.268417358398438
738000377;-68.01397705078125;-98.611404418945313
744000376;-70.830825805664062;-100.96231842041016
750000375;-71.428298950195313;-106.46697235107422
756000374;-71.914970397949219;-103.42280578613281
762000373;-65.988601684570313;-97.890190124511719
768000372;-62.001659393310547;-94.192031860351562
774000371;-65.160537719726563;-96.747093200683594
780000370;-70.945823669433594;-98.86248779296875
786000369;-66.595130920410156;-98.195419311523438
792000368;-62.962863922119141;-92.292724609375
798000367;-60.39300537109375;-91.867950439453125
804000366;-47.115413665771484;-76.409255981445312
810000365;-46.030773162841797;-94.835708618164063
816000364;-60.931049346923828;-92.625053405761719
822000363;-62.855823516845703;-102.29000091552734
828000362;-70.772964477539062;-103.39644622802734
834000361;-71.422782897949219;-96.876541137695312
840000360;-70.517784118652344;-98.614952087402344
846000359;-71.6612548828125;-99.729965209960938
852000358;-70.349128723144531;-128.42900085449219
858000357;-69.528663635253906;-96.250869750976563
864000356;-70.440696716308594;-99.077919006347656
870000355;-69.538009643554688;-100.16256713867187
876000354;-71.220542907714844;-98.794052124023438
882000353;-71.540542602539063;-99.217582702636719
888000352;-69.648529052734375;-98.147674560546875
894000351;-71.172531127929687;-94.172492980957031
900000350;-70.005744934082031;-112.16448211669922
906000349;-71.116294860839844;-98.596641540527344
912000348;-70.538047790527344;-102.71639251708984
918000347;-68.142074584960937;-102.28568267822266
924000346;-58.6121826171875;-99.939033508300781
930000345;-57.044227600097656;-86.611274719238281
936000344;-24.84794807434082;-64.901374816894531
