Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8668241500854492;-52.589534759521484
6000499;-54.58758544921875;-94.804649353027344
12000498;-54.122047424316406;-97.925857543945313
18000497;-47.030021667480469;-92.180908203125
24000496;-42.943717956542969;-89.121200561523438
30000495;-41.936210632324219;-91.611083984375
36000494;-29.650943756103516;-95.238822937011719
42000493;-39.557575225830078;-88.260948181152344
48000492;-29.798900604248047;-90.965866088867188
54000491;-39.041763305664062;-102.21287536621094
60000490;-43.666610717773437;-88.223709106445313
66000489;-36.207736968994141;-88.759857177734375
72000488;-48.548324584960937;-89.472015380859375
78000487;-45.70831298828125;-88.969459533691406
84000486;-39.135486602783203;-87.059333801269531
90000485;-38.804096221923828;-79.270988464355469
96000484;-34.868724822998047;-76.229347229003906
102000483;-35.581832885742187;-65.786094665527344
108000482;-42.411411285400391;-87.839340209960937
114000481;-50.607753753662109;-94.196441650390625
120000480;-49.554111480712891;-87.308113098144531
126000479;-56.169048309326172;-95.0916748046875
132000478;-58.682037353515625;-106.44597625732422
138000477;-57.732582092285156;-107.62788391113281
144000476;-53.570125579833984;-103.1219482421875
150000475;-57.900974273681641;-99.502510070800781
156000474;-48.827831268310547;-91.740524291992188
162000473;-41.584453582763672;-91.869697570800781
168000472;-52.519195556640625;-89.578208923339844
174000471;-42.912967681884766;-90.298042297363281
180000470;-32.739963531494141;-77.789459228515625
186000469;-32.788368225097656;-67.374496459960938
192000468;-32.605869293212891;-76.845802307128906
198000467;-52.138980865478516;-91.693626403808594
204000466;-46.963821411132813;-99.03350830078125
210000465;-52.654579162597656;-96.618278503417969
216000464;-49.410923004150391;-97.994163513183594
222000463;-51.420806884765625;-92.687690734863281
228000462;-53.992862701416016;-102.64076995849609
234000461;-52.780982971191406;-91.045852661132813
240000460;-62.813255310058594;-92.810150146484375
246000459;-49.669670104980469;-98.617324829101563
252000458;-50.902973175048828;-90.66461181640625
258000457;-61.882144927978516;-102.15957641601562
264000456;-51.743232727050781;-96.707489013671875
270000455;-59.766792297363281;-94.297576904296875
276000454;-60.176036834716797;-98.644287109375
282000453;-66.260284423828125;-97.300323486328125
288000452;-66.000633239746094;-115.93666839599609
294000451;-61.2259521484375;-91.457931518554688
300000450;-61.580173492431641;-86.023674011230469
306000449;-56.189559936523438;-94.427665710449219
312000448;-60.995265960693359;-106.10205078125
318000447;-57.959392547607422;-101.61940002441406
324000446;-58.941799163818359;-96.63580322265625
330000445;-66.856597900390625;-100.23683166503906
336000444;-53.258899688720703;-92.339027404785156
342000443;-66.072509765625;-119.03823089599609
348000442;-59.861129760742188;-98.410400390625
354000441;-61.168506622314453;-108.92365264892578
360000440;-57.751613616943359;-95.362403869628906
366000439;-55.157344818115234;-94.47650146484375
372000438;-61.105930328369141;-91.3525390625
378000437;-55.320682525634766;-94.870376586914063
384000436;-56.076438903808594;-99.002265930175781
390000435;-47.453338623046875;-95.23626708984375
396000434;-53.54547119140625;-95.711189270019531
402000433;-67.17041015625;-98.752418518066406
408000432;-56.886325836181641;-103.84958648681641
414000431;-40.804119110107422;-85.228813171386719
420000430;-36.032112121582031;-72.873985290527344
426000429;-48.637660980224609;-74.855583190917969
432000428;-52.079872131347656;-99.104026794433594
438000427;-65.744033813476562;-102.26068115234375
444000426;-63.610275268554687;-95.693191528320313
450000425;-59.469253540039063;-95.195732116699219
456000424;-57.814838409423828;-88.005653381347656
462000423;-57.422527313232422;-92.953659057617188
468000422;-55.935489654541016;-108.37407684326172
474000421;-55.176612854003906;-99.831802368164062
480000420;-63.490734100341797;-101.52639007568359
486000419;-54.642364501953125;-91.557868957519531
492000418;-67.372856140136719;-105.71694183349609
498000417;-57.344581604003906;-93.722572326660156
504000416;-61.246498107910156;-102.88750457763672
510000415;-61.916019439697266;-113.73588562011719
516000414;-44.361263275146484;-86.135322570800781
522000413;-46.546550750732422;-74.1636962890625
528000412;-53.568580627441406;-90.372299194335937
534000411;-66.108917236328125;-107.23923492431641
540000410;-72.072891235351562;-101.93258666992187
546000409;-71.058135986328125;-111.00594329833984
552000408;-70.3800048828125;-96.681571960449219
558000407;-69.816070556640625;-95.386680603027344
564000406;-70.728858947753906;-108.87591552734375
570000405;-55.958282470703125;-97.197433471679688
576000404;-45.520950317382813;-83.956474304199219
582000403;-46.737022399902344;-87.314544677734375
588000402;-68.615081787109375;-107.04547119140625
594000401;-72.280799865722656;-104.49331665039062
600000400;-70.04156494140625;-106.62753295898437
606000399;-70.579818725585937;-99.939605712890625
612000398;-71.210609436035156;-94.381072998046875
618000397;-70.21435546875;-106.32827758789062
624000396;-66.640823364257813;-94.600059509277344
630000395;-64.083343505859375;-100.25811767578125
636000394;-72.21630859375;-99.849845886230469
642000393;-69.715629577636719;-102.56616973876953
648000392;-71.04608154296875;-106.98231506347656
654000391;-69.237052917480469;-98.372398376464844
660000390;-65.509147644042969;-111.21726226806641
666000389;-69.2947998046875;-105.05429077148437
672000388;-71.347381591796875;-105.25696563720703
678000387;-71.736343383789062;-97.467086791992188
684000386;-66.925750732421875;-107.93170166015625
690000385;-60.346843719482422;-92.784957885742188
696000384;-69.1690673828125;-93.652168273925781
702000383;-70.795478820800781;-104.80570220947266
708000382;-70.791519165039063;-111.36592864990234
714000381;-72.268272399902344;-99.5037841796875
720000380;-67.863517761230469;-98.069229125976563
726000379;-50.258327484130859;-97.526603698730469
732000378;-49.629295349121094;-86.705917358398438
738000377;-66.94085693359375;-103.67726135253906
744000376;-70.320732116699219;-93.164680480957031
750000375;-69.1717529296875;-103.11688232421875
756000374;-71.000617980957031;-101.99449920654297
762000373;-64.450553894042969;-96.458747863769531
768000372;-59.164192199707031;-90.242347717285156
774000371;-63.577690124511719;-94.744384765625
780000370;-72.383209228515625;-92.6243896484375
786000369;-59.637359619140625;-98.219367980957031
792000368;-46.449337005615234;-75.730758666992188
798000367;-48.589767456054687;-86.377395629882813
804000366;-55.678077697753906;-90.416091918945313
810000365;-61.8095703125;-90.482734680175781
816000364;-63.713840484619141;-98.871055603027344
822000363;-63.818347930908203;-94.313735961914062
828000362;-67.989227294921875;-96.202873229980469
834000361;-70.3583984375;-97.268585205078125
840000360;-71.467094421386719;-105.43637847900391
846000359;-71.128814697265625;-93.001228332519531
852000358;-70.607078552246094;-95.833045959472656
858000357;-69.146163940429687;-92.704063415527344
864000356;-71.804008483886719;-97.884201049804687
870000355;-71.3564453125;-116.87684631347656
876000354;-69.496871948242188;-98.067764282226562
882000353;-71.953712463378906;-108.38397979736328
888000352;-71.000518798828125;-94.770858764648438
894000351;-73.114021301269531;-103.97880554199219
900000350;-69.917404174804687;-99.398292541503906
906000349;-70.542617797851563;-106.35587310791016
912000348;-69.946266174316406;-103.99931335449219
918000347;-67.541679382324219;-97.602676391601563
924000346;-59.189155578613281;-102.57056427001953
930000345;-56.121700286865234;-86.950935363769531
936000344;-25.169443130493164;-68.071884155273437
942000343;-23.144729614257813;-69.772552490234375
