Type;ZVL-3;
Version;3.31;
Date;28.Jan 18;
Mode;ANALYZER;
Center Freq;1500000250.000000;Hz
Freq Offset;0.000000;Hz
Span;2999999500.000000;Hz
x-Axis;LIN;
Start;500.000000;Hz
Stop;3000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;10000000.000000;Hz
SWT;0.005000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
500;-1.8616912364959717;-53.397247314453125
6000499;-52.338344573974609;-83.934593200683594
12000498;-56.205364227294922;-92.349716186523438
18000497;-47.710414886474609;-94.305046081542969
24000496;-41.657814025878906;-99.314338684082031
30000495;-41.162754058837891;-87.935585021972656
36000494;-30.272333145141602;-91.583038330078125
42000493;-38.750038146972656;-80.954383850097656
48000492;-41.120635986328125;-85.634506225585938
54000491;-35.286190032958984;-95.963279724121094
60000490;-42.241458892822266;-83.152999877929688
66000489;-44.024742126464844;-87.314064025878906
72000488;-41.044322967529297;-103.26934814453125
78000487;-45.832439422607422;-87.643508911132813
84000486;-41.962417602539063;-74.127128601074219
90000485;-42.403873443603516;-72.828887939453125
96000484;-36.118282318115234;-60.296623229980469
102000483;-35.174365997314453;-66.824310302734375
108000482;-41.938671112060547;-80.087783813476562
114000481;-51.997974395751953;-90.473526000976563
120000480;-50.914146423339844;-86.008651733398437
126000479;-53.193386077880859;-103.17251586914062
132000478;-60.661453247070313;-97.933311462402344
138000477;-66.143211364746094;-98.559356689453125
144000476;-55.228065490722656;-90.819992065429688
150000475;-61.477863311767578;-97.867027282714844
156000474;-45.817832946777344;-96.898094177246094
162000473;-49.154998779296875;-90.958961486816406
168000472;-40.190860748291016;-87.153312683105469
174000471;-48.451587677001953;-94.45947265625
180000470;-44.1783447265625;-87.694107055664063
186000469;-31.977346420288086;-74.82586669921875
192000468;-29.324188232421875;-76.6004638671875
198000467;-47.465106964111328;-91.727500915527344
204000466;-53.606578826904297;-87.036148071289062
210000465;-56.702896118164063;-87.555587768554688
216000464;-51.169815063476562;-94.298095703125
222000463;-66.557571411132813;-100.38288116455078
228000462;-51.774082183837891;-96.466896057128906
234000461;-56.558689117431641;-95.963172912597656
240000460;-51.190673828125;-87.870819091796875
246000459;-60.800868988037109;-96.686904907226563
252000458;-52.400398254394531;-95.355659484863281
258000457;-64.903892517089844;-92.851692199707031
264000456;-63.563728332519531;-100.066650390625
270000455;-57.533756256103516;-95.65911865234375
276000454;-58.723304748535156;-99.285614013671875
282000453;-62.484790802001953;-99.7353515625
288000452;-60.408660888671875;-92.536155700683594
294000451;-63.995845794677734;-101.8077392578125
300000450;-64.061820983886719;-109.22836303710937
306000449;-53.719112396240234;-92.830757141113281
312000448;-55.366775512695313;-97.354232788085937
318000447;-61.617683410644531;-96.861076354980469
324000446;-63.657722473144531;-98.416358947753906
330000445;-54.015804290771484;-98.511207580566406
336000444;-62.013065338134766;-92.029251098632813
342000443;-56.087104797363281;-98.458091735839844
348000442;-61.265453338623047;-95.585365295410156
354000441;-55.727684020996094;-91.775444030761719
360000440;-57.840549468994141;-104.43985748291016
366000439;-55.632713317871094;-85.165916442871094
372000438;-58.631496429443359;-95.429969787597656
378000437;-51.818042755126953;-105.15060424804687
384000436;-50.144012451171875;-90.411376953125
390000435;-44.652359008789063;-80.535263061523438
396000434;-57.485191345214844;-105.08999633789062
402000433;-63.650829315185547;-105.09247589111328
408000432;-55.979518890380859;-100.25250244140625
414000431;-39.611537933349609;-101.08234405517578
420000430;-35.775127410888672;-70.46966552734375
426000429;-49.600788116455078;-75.487358093261719
432000428;-53.504116058349609;-94.573997497558594
438000427;-54.418155670166016;-96.89764404296875
444000426;-58.424102783203125;-106.77721405029297
450000425;-64.414306640625;-98.101547241210937
456000424;-60.094528198242188;-94.380821228027344
462000423;-59.464881896972656;-98.265495300292969
468000422;-55.115814208984375;-103.67837524414062
474000421;-66.135650634765625;-97.885650634765625
480000420;-56.367828369140625;-95.89892578125
486000419;-67.513442993164063;-94.775032043457031
492000418;-63.501728057861328;-102.051025390625
498000417;-63.090457916259766;-107.18203735351562
504000416;-70.830497741699219;-97.762283325195313
510000415;-58.680622100830078;-97.601577758789063
516000414;-47.977272033691406;-79.431831359863281
522000413;-47.34478759765625;-67.664039611816406
528000412;-54.246513366699219;-104.45628356933594
534000411;-63.829421997070313;-94.251533508300781
540000410;-72.062149047851562;-98.440078735351562
546000409;-71.718307495117188;-103.27101898193359
552000408;-70.6326904296875;-105.91218566894531
558000407;-71.143684387207031;-105.20703125
564000406;-70.623146057128906;-89.897102355957031
570000405;-52.610336303710937;-93.927291870117187
576000404;-43.581287384033203;-76.845390319824219
582000403;-46.598831176757813;-96.9862060546875
588000402;-69.257102966308594;-104.26298522949219
594000401;-69.53387451171875;-122.74265289306641
600000400;-71.754379272460937;-103.35369110107422
606000399;-70.338531494140625;-104.65177154541016
612000398;-71.4078369140625;-109.00579071044922
618000397;-69.2081298828125;-114.36741638183594
624000396;-69.0218505859375;-101.23420715332031
630000395;-71.703544616699219;-102.35314178466797
636000394;-72.189826965332031;-99.190643310546875
642000393;-69.106132507324219;-97.786094665527344
648000392;-71.457496643066406;-98.671928405761719
654000391;-67.570716857910156;-103.79817199707031
660000390;-72.672500610351563;-98.9124755859375
666000389;-69.837455749511719;-98.838493347167969
672000388;-72.805686950683594;-124.05286407470703
678000387;-72.46917724609375;-101.08551025390625
684000386;-67.014984130859375;-102.16007232666016
690000385;-63.779560089111328;-91.219284057617188
696000384;-70.981437683105469;-97.186042785644531
702000383;-68.588722229003906;-100.24240112304687
708000382;-70.263618469238281;-109.0416259765625
714000381;-70.066619873046875;-101.36441040039062
720000380;-69.713699340820312;-124.34711456298828
726000379;-47.881450653076172;-82.944297790527344
732000378;-48.972507476806641;-75.357009887695313
738000377;-67.396354675292969;-93.052154541015625
744000376;-71.544692993164062;-100.15440368652344
750000375;-69.603630065917969;-107.25647735595703
756000374;-70.187423706054687;-100.59266662597656
762000373;-65.988800048828125;-107.44300079345703
768000372;-58.216106414794922;-85.832679748535156
774000371;-61.475799560546875;-96.674949645996094
780000370;-71.34130859375;-106.18849182128906
786000369;-70.387176513671875;-100.34004211425781
792000368;-63.528659820556641;-97.914390563964844
798000367;-57.696331024169922;-91.663917541503906
804000366;-60.180065155029297;-98.042037963867188
810000365;-60.975631713867188;-90.6119384765625
816000364;-64.672248840332031;-91.761558532714844
822000363;-66.8594970703125;-100.12099456787109
828000362;-70.394210815429688;-100.43360137939453
834000361;-70.929374694824219;-91.805618286132813
840000360;-73.583091735839844;-97.761672973632813
846000359;-71.823020935058594;-97.173454284667969
852000358;-69.546783447265625;-116.96494293212891
858000357;-71.601287841796875;-104.71832275390625
864000356;-68.818222045898437;-105.84665679931641
870000355;-69.747467041015625;-97.289382934570313
876000354;-70.691207885742187;-99.967002868652344
882000353;-71.162452697753906;-100.46096801757812
888000352;-72.132942199707031;-103.86682891845703
894000351;-68.107353210449219;-109.26639556884766
900000350;-71.436042785644531;-103.83143615722656
906000349;-68.883392333984375;-100.86345672607422
912000348;-71.446380615234375;-106.89456176757812
918000347;-70.595504760742187;-96.279129028320313
924000346;-58.399787902832031;-97.687309265136719
930000345;-53.726394653320312;-90.285438537597656
936000344;-23.973867416381836;-71.159385681152344
942000343;-22.66126823425293;-64.64044189453125
